FamilyID	Skow<1>	Anja<2>	Arub<3>	Spur<4>	Ajap<5>	Blan<6>	Cint<7>	Ebur<8>	Cmil<9>	Cpla<10>	Leri<11>	Drer<12>	Sorb<13>	Lcha<14>	Pann<15>	Rbiv<16>	Gser<17>	Muni<18>	Pwal<19>	Bbom<20>	Xtro<21>	Xlae<22>	Sbom<23>	Bbuf<24>	Npar<25>	Rtem<26>	Oana<27>	Mdom<28>	Hsap<29>	Clup<30>	Ttru<31>	Emac<32>	Ctig<33>	Acar<34>	Tgut<35>	Ggal<36>	Amis<37>	Asin<38>	Ggan<39>	Cpor<40>	Psin<41>	Pmeg<42>	Tcar<43>	Cpic<44>	Cser<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>	<88>	<89>
OG0002665	0.18366	0.178035	0.618323	0.616	0.616	0.627063	0.182098	0.618026	0.114871	0.681059	0.272926	0.731095	0.163769	0.686008	0.685417	0.677037	0.0269272	0.675172	0.680366	0.675083	0.669832	0.103788	0.673379	0.670839	0.252713	0.667802	0.676595	0.675172	0.0378061	0.000189383	0.000189383	0.000289239	0.674098	0.674098	0.672837	0.672837	0.672294	0.672294	0.259277	0.672113	0.26462	0.107472	0.107264	0.0266288	0.263395	N/A	0.552936	0.558468	0.5473	0.534858	0.530596	0.540727	0.588193	0.0392846	0.586594	0.559971	0.528869	0.0818262	0.5254	0.51295	0.555274	0.52714	0.579457	0.537373	0.520124	0.594908	0.516557	0.578007	0.514759	0.504766	0.556848	0.54889	0.567629	0.52714	0.0038425	0.000238361	0.534	0.561519	0.521893	0.520124	0.520124	0.567629	0.566114	0.511131	0.514759	0.537373	0.514759	0.503752	0.503752
OG0002687	0.311009	0.700699	0.124983	0.5	0.5	0.314228	0.704449	0.295916	0.264238	0.798522	0.477992	0.422419	0.768739	0.803245	0.266393	0.766612	0.764634	0.764634	0.00339221	0.119998	0.787294	0.000878746	0.464119	0.459441	0.785185	0.453787	0.469978	0.467395	0.788705	0.114466	0.788237	0.467558	0.465436	0.791646	0.463126	0.463126	0.789819	0.462128	0.461794	0.461794	0.509977	0.0305345	0.287645	0.813344	0.076614	N/A	0.59762	0.60689	0.587998	0.000791674	0.558414	0.576548	0.653787	0.000869303	0.677583	0.630782	0.567605	0.397875	0.559954	0.531443	0.621849	0.563806	0.25439	0.57061	0.548074	0.690922	0.539874	0.663182	0.535688	0.511789	0.624866	0.609367	0.644904	0.563806	0.655552	0.522773	0.578695	0.633681	0.552089	0.548074	0.548074	0.644904	0.642154	0.527138	0.535688	0.0483832	0.542358	0.511131	0.511131
OG0002708	0.625455	0.5	0.5	0.5	0.5	0.185947	0.182098	0.0746726	0.131479	0.477992	0.798522	0.796575	0.256312	0.267332	0.802689	0.794584	0.792726	0.250179	0.258379	0.792636	0.787294	0.0185822	0.79092	0.788331	0.785185	0.453787	0.794145	0.467395	0.788705	0.243225	0.788237	0.792815	0.791646	0.791646	0.790371	0.246505	0.245652	0.462128	0.461794	0.0563422	0.793171	0.792188	0.00293104	0.0201825	0.792367	N/A	0.552936	0.0867933	0.5	0.5	0.530596	0.540727	3.62412e-05	0.747522	0.677583	0.630782	0.567605	0.753194	0.559954	0.531443	0.621849	0.563806	0.66566	0.585839	0.548074	0.690922	0.539874	0.663182	0.535688	0.511789	0.624866	0.609367	0.644904	0.563806	0.655552	0.522773	0.578695	0.633681	0.552089	0.548074	0.548074	0.644904	0.642154	0.527138	0.535688	0.585839	0.535688	0.509302	0.509302
OG0002770	0.625455	0.621504	0.618323	0.616	0.616	0.627063	0.624357	0.618026	0.0571855	0.5	0.5	0.605622	0.605622	0.610618	0.61019	0.604186	0.602867	0.602867	0.606554	0.602804	0.599128	0.0517272	0.601606	0.599829	0.597721	0.597721	0.26611	0.34933	1.53217e-05	0.337915	0.000254236	0.60293	0.602111	0.602111	0.0528608	0.601226	0.148432	0.600846	0.14825	0.14825	0.0539187	0.0535441	0.0534418	0.6023	0.602616	N/A	0.552936	0.558468	0.5473	0.534858	0.530596	0.540727	0.588193	0.575938	0.546486	0.0469246	0.51476	0.57887	0.512951	0.506539	0.528875	0.513856	0.542384	0.519238	0.510218	0.551337	0.508384	0.541557	0.507463	0.502392	0.529737	0.525405	0.0181582	0.0139512	4.41023e-28	0.596183	0.517454	0.532308	0.511132	0.510218	0.510218	0.535703	0.534858	0.505613	0.507463	0.519238	0.507463	0.501882	0.501882
OG0002777	0.18366	0.753755	0.361764	1.90091e-17	0.0489073	0.185947	0.182098	0.618026	0.684061	0.112489	0.681059	0.212376	0.212376	0.738498	0.737874	0.677037	0.675172	0.675172	0.165242	0.764539	0.787294	0.241789	0.762717	0.201044	0.401748	0.401748	0.161006	0.15942	0.671204	0.670748	0.670748	0.726999	0.725737	0.158226	0.203782	0.762136	0.156229	0.156229	0.00176867	0.343955	0.416168	0.792188	0.791917	0.791917	0.249616	N/A	0.552936	0.00181054	3.53033e-05	0.0331657	0.530596	0.540727	0.588193	0.0392846	0.586594	0.559971	0.0148671	0.12163	0.537371	0.519236	0.579431	0.539876	0.169368	0.537373	0.529729	0.0785885	0.532297	0.0841278	0.528867	0.509465	0.604194	0.570617	0.59622	0.539876	0.157535	0.509302	0.54969	0.587962	0.532298	0.529729	0.529729	0.0543741	0.594181	0.516557	0.521892	0.0291127	0.0149767	0.509302	0.509302
OG0002790	0.0038238	0.100964	0.0210924	0.0383771	7.70768e-23	0.000302909	0.182098	0.173073	0.5	0.5	0.5	7.73603e-05	0.155304	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	N/A	0.635475	0.00112778	0.702845	0.0254339	0.583732	0.00305168	0.588193	0.575938	0.0691625	0.5	0.51476	0.57887	0.0193836	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
OG0002834	2.25062e-12	0.013053	0.0740061	0.386196	0.532797	2.8827e-07	0.00370814	0.0135181	0.277514	0.681059	0.0106775	0.269871	0.679059	0.002664	0.0309329	0.604186	0.602867	0.602867	0.271867	0.107818	0.669832	0.669832	0.261206	0.00025578	0.252713	0.0242804	0.676595	0.26394	0.257892	0.257197	0.670748	0.675261	0.262303	0.674098	0.672837	0.672837	0.672294	0.672294	0.672113	0.672113	0.603182	0.60249	0.6023	0.6023	0.15098	N/A	1.21917e-05	0.835464	0.289264	0.779765	0.680724	7.81148e-06	0.311264	0.635041	0.586594	0.559971	0.528869	0.639601	0.5254	0.51295	0.555274	0.52714	0.119265	0.519238	0.520124	0.594908	0.516557	0.578007	0.514759	0.504766	0.556848	0.54889	0.567629	0.52714	0.573607	0.509302	0.534	0.561519	0.521893	0.520124	0.520124	0.567629	0.566114	0.511131	0.514759	0.0560672	0.507463	0.501882	0.501882
OG0002922	0.18366	0.621504	0.0621418	0.616	0.616	0.627063	0.624357	0.0717449	0.736437	0.733238	0.733238	0.679059	0.269871	0.00245993	0.170986	0.728919	0.726902	0.726902	0.0132463	2.84829e-05	0.499599	0.499599	0.285954	0.810025	1.47032e-06	0.000169778	0.676595	0.5	0.5	0.5	0.5	0.675261	0.00952994	0.674098	0.672837	0.672837	0.672294	0.672294	0.10553	0.259277	0.00977198	0.674636	0.674367	0.674367	0.674815	N/A	0.552936	0.558468	0.5473	0.534858	0.530596	0.540727	0.00423859	0.681427	0.621291	0.585856	0.54236	0.285359	0.537371	0.519236	0.579431	0.539876	0.611957	0.554475	0.0154023	0.0252284	0.547264	0.685232	0.542358	0.514096	0.643793	0.106428	0.567629	0.000107812	0.5	0.5	0.534	0.561519	0.521893	0.520124	0.520124	0.567629	0.566114	0.511131	0.514759	0.537373	0.514759	0.503752	0.503752
OG0002929	0.311009	0.303029	0.696468	0.291735	0.122397	0.314228	0.704449	0.124652	0.609209	0.60705	0.60705	0.269871	0.110915	0.280492	0.685417	0.604186	0.602867	0.602867	0.111942	0.602804	0.599128	0.599128	0.601606	0.599829	0.597721	0.597721	0.26611	0.0120225	1.76177e-06	0.243225	0.00793991	0.675261	0.262303	0.674098	0.601226	0.601226	0.672294	0.672294	0.259277	0.10553	0.675618	0.263123	0.674367	0.262713	0.263395	N/A	0.59762	0.60689	0.587998	0.566114	0.558414	0.576548	0.653787	0.635041	0.129995	0.531453	0.528869	0.639601	0.5254	0.51295	0.555274	0.52714	0.119265	0.519238	0.520124	0.142503	0.508384	0.541557	0.507463	0.502392	0.529737	0.54889	0.567629	0.000481303	0.0790538	0.522773	0.534	0.561519	0.521893	0.520124	0.520124	0.101491	0.566114	0.511131	0.514759	0.537373	0.514759	0.503752	0.503752
OG0002957	0.18366	0.178035	0.618323	0.0608766	0.616	4.07808e-32	0.757563	0.295916	0.114871	0.112489	0.681059	0.110915	0.679059	0.280492	0.115955	0.677037	0.675172	0.675172	0.680366	0.675083	0.669832	0.00192332	0.673379	0.670839	0.667802	0.667802	0.603872	0.602867	0.600084	0.599766	0.599766	0.675261	0.674098	0.674098	0.601226	0.601226	0.0526553	0.600846	0.600719	0.14825	0.603182	0.60249	0.0534418	0.0534418	0.15098	N/A	0.146585	0.558468	0.5473	0.534858	0.0310521	0.608117	0.311264	0.635041	0.586594	0.559971	0.528869	0.639601	0.5254	0.51295	0.555274	0.52714	0.579457	0.537373	0.520124	0.594908	0.516557	0.578007	0.514759	0.504766	0.556848	0.0733517	0.535703	0.513856	0.539062	0.504684	0.517454	0.016406	0.521893	0.510218	0.510218	0.535703	0.534858	0.505613	0.507463	0.519238	0.507463	0.501882	0.501882
