FamilyID	Skow<1>	Anja<2>	Arub<3>	Spur<4>	Ajap<5>	Blan<6>	Cint<7>	Ebur<8>	Cmil<9>	Cpla<10>	Leri<11>	Drer<12>	Sorb<13>	Lcha<14>	Pann<15>	Rbiv<16>	Gser<17>	Muni<18>	Pwal<19>	Bbom<20>	Xtro<21>	Xlae<22>	Sbom<23>	Bbuf<24>	Npar<25>	Rtem<26>	Oana<27>	Mdom<28>	Hsap<29>	Clup<30>	Ttru<31>	Emac<32>	Ctig<33>	Acar<34>	Tgut<35>	Ggal<36>	Amis<37>	Asin<38>	Ggan<39>	Cpor<40>	Psin<41>	Pmeg<42>	Tcar<43>	Cpic<44>	Cser<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>	<88>	<89>
OG0000012	77	40	31	38	34	96	52	37	46	50	48	60	55	49	59	52	49	52	57	48	44	87	46	46	52	54	42	48	45	49	48	53	54	48	46	49	44	50	48	50	46	19	55	49	51	9	32	34	34	35	37	41	43	49	48	48	50	54	50	50	50	51	51	51	51	51	51	55	51	51	52	48	47	47	47	47	48	50	50	48	48	48	48	48	48	47	47	47	47
OG0000015	62	36	28	59	70	41	55	13	21	16	25	18	28	19	26	15	14	21	40	16	13	21	14	17	16	19	16	20	19	24	17	19	15	20	11	13	15	12	9	9	16	14	18	37	14	9	33	37	41	50	21	24	20	20	20	20	20	21	20	20	19	19	18	18	19	17	17	17	17	17	17	18	18	18	19	19	17	17	17	17	15	14	13	13	13	17	17	17	17
OG0000016	65	31	30	31	49	66	11	17	15	13	13	31	33	19	20	16	14	17	21	21	20	37	20	23	26	29	16	16	17	21	17	18	19	15	18	29	19	17	16	16	17	16	21	18	17	9	29	31	32	34	15	15	17	18	16	15	19	27	19	19	19	19	17	17	20	23	23	24	23	23	24	18	18	18	18	18	18	18	18	18	18	19	18	18	18	18	18	18	18
OG0000017	40	20	22	22	22	27	23	43	39	44	44	58	54	45	45	45	45	48	47	45	46	85	45	43	42	47	37	34	46	55	41	39	44	38	35	34	39	33	29	24	28	45	44	36	41	9	19	20	21	21	19	23	36	42	42	43	43	51	43	43	43	44	45	45	44	46	46	52	46	46	46	40	40	40	43	43	39	39	39	38	37	36	34	34	33	38	38	38	38
OG0000018	23	32	34	38	29	26	33	33	29	42	30	36	45	26	27	24	26	26	44	25	23	35	25	25	26	24	19	20	19	25	18	22	21	22	19	21	22	21	20	22	17	17	18	25	20	9	20	27	30	31	19	24	28	29	31	32	29	36	28	28	27	27	26	26	27	26	26	27	26	26	26	22	21	21	21	21	21	21	21	21	21	21	21	21	21	20	20	20	20
OG0000019	32	24	25	34	21	30	15	28	32	30	33	47	44	34	39	33	35	36	35	38	40	75	35	39	33	41	33	33	39	42	34	34	33	26	34	39	33	31	31	22	32	42	36	34	33	9	20	23	24	25	16	18	27	34	33	33	35	41	35	35	35	35	35	35	35	38	38	44	38	38	38	34	34	34	36	36	34	33	33	34	34	35	31	31	31	34	34	34	34
OG0000020	24	31	23	45	52	23	27	34	29	29	26	42	37	33	28	27	26	27	27	25	25	47	25	27	27	25	22	26	25	36	26	26	26	27	26	29	26	26	24	28	24	24	27	24	25	9	20	27	30	37	17	22	28	29	28	28	29	35	29	29	27	27	27	27	27	27	27	29	27	27	27	26	26	26	27	27	26	26	26	26	26	26	26	26	26	26	26	26	26
OG0000021	37	19	19	35	12	63	28	22	21	16	16	19	21	14	19	18	15	14	16	13	13	28	12	14	15	20	19	23	16	27	18	21	21	17	13	24	16	18	15	13	19	17	18	20	17	9	18	19	19	19	21	22	20	18	18	17	18	19	18	18	18	17	16	16	17	16	16	17	16	16	16	18	19	19	19	19	18	19	19	18	18	18	17	17	17	18	18	18	18
OG0000022	50	22	29	43	40	28	10	12	11	10	11	13	17	13	13	13	13	13	17	11	11	11	11	18	13	10	12	12	11	21	12	11	10	12	9	11	12	11	10	10	12	16	12	12	11	9	25	27	31	35	11	11	12	12	11	11	12	14	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	13	13	12	12	12	12	12	11	11	11	11	12	12	12	12
OG0000023	65	25	40	46	24	44	18	15	11	13	12	22	19	19	14	16	15	14	23	12	11	25	12	12	12	11	11	14	14	16	15	18	18	14	14	18	16	16	12	13	15	18	18	18	16	9	28	30	33	33	16	16	16	16	14	14	16	19	16	16	16	16	16	16	16	13	13	14	13	13	13	16	15	15	15	15	16	16	16	16	16	16	15	15	15	16	16	16	16
OG0000024	28	22	18	21	15	30	13	29	32	35	36	36	44	36	35	36	31	36	32	33	34	66	33	31	31	35	29	28	34	41	34	34	33	29	33	39	28	25	24	27	22	38	35	37	34	9	17	18	18	18	16	17	27	33	33	34	33	37	33	33	33	33	34	34	33	34	34	39	34	34	34	32	32	32	34	34	32	32	32	32	32	33	28	28	28	32	33	33	33
OG0000027	19	17	16	15	30	20	18	24	35	34	34	38	40	33	34	34	30	33	35	30	34	65	30	30	31	29	32	32	31	39	30	30	29	29	27	35	34	32	27	30	27	30	33	32	33	9	14	16	17	18	15	18	25	32	33	33	32	36	32	32	32	32	32	32	32	32	32	38	32	32	31	32	32	32	32	32	31	30	30	31	31	31	31	31	31	31	31	31	31
OG0000028	45	10	10	8	5	37	8	15	21	23	23	36	40	22	26	18	17	18	35	23	23	37	20	20	20	21	24	26	23	26	26	25	26	25	26	25	26	25	26	25	25	28	30	25	21	9	12	10	9	8	13	13	17	23	23	23	24	32	24	24	24	24	20	20	24	23	23	25	23	23	22	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
OG0000029	7	6	1	2	7	3	7	11	32	30	49	94	94	19	58	60	35	26	57	63	42	46	37	71	57	46	24	32	66	44	40	67	31	39	30	46	32	43	19	19	24	15	30	29	33	5	5	5	4	4	5	7	15	36	36	37	40	75	40	41	41	43	42	39	45	50	50	47	50	50	50	37	36	37	43	43	36	39	39	33	33	34	31	31	29	30	30	30	30
OG0000030	16	24	15	20	53	18	42	39	47	28	18	19	21	29	23	18	14	16	47	16	15	15	15	14	16	19	14	15	14	22	13	15	15	19	13	11	30	23	15	16	22	19	25	18	37	9	15	19	20	23	17	25	28	25	27	26	24	22	24	24	21	21	18	17	21	17	17	16	17	17	17	19	17	17	17	17	19	18	18	19	19	16	19	20	19	21	21	21	21
OG0000031	80	24	31	31	19	24	7	11	11	13	9	14	16	12	14	11	10	10	21	10	11	17	11	11	12	10	8	9	6	11	8	8	10	7	10	7	11	9	7	8	6	8	10	9	10	9	26	26	26	26	10	10	11	11	11	11	11	13	11	11	11	11	11	11	11	11	11	12	11	11	11	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
OG0000032	3	7	4	4	8	43	7	28	29	28	23	41	48	33	34	32	26	28	40	29	28	58	29	29	30	29	26	26	27	36	29	29	34	27	25	24	32	29	26	26	30	29	30	30	27	8	6	6	6	6	15	15	25	30	29	28	31	39	31	31	31	31	30	29	31	31	31	34	31	31	31	29	28	28	29	29	29	29	29	29	29	27	29	29	29	29	29	29	29
OG0000033	47	53	26	42	19	42	6	6	16	7	7	7	11	15	11	12	10	10	19	14	13	17	11	10	12	12	10	10	9	15	8	10	14	13	11	10	15	9	8	9	8	13	11	11	10	9	27	31	30	30	10	9	9	11	11	9	11	10	11	11	11	11	11	11	12	12	12	13	12	12	12	11	11	11	11	11	11	11	11	11	11	11	10	10	10	11	11	11	11
OG0000036	35	13	30	49	24	6	30	13	20	17	16	28	23	23	37	30	27	28	25	23	32	44	25	25	29	35	14	18	14	13	14	18	16	20	12	15	10	17	14	10	15	16	16	19	19	9	19	20	26	28	10	15	16	20	19	18	22	24	23	23	23	25	27	27	25	27	28	32	28	28	29	18	16	16	15	15	17	17	17	17	16	15	14	14	14	17	17	17	17
