"feature","p_value","odds_ratio","prop_Group_A","prop_Group_B","abs_diff","padj","enriched_in"
"GO:0042562",7.59975708924302e-12,0.00399084542101204,0.944444444444444,0.0476190476190476,0.896825396825397,9.20710571361792e-08,"Group_A"
"GO:0017144",2.53770267128643e-10,0.00743233293611273,0.944444444444444,0.0952380952380952,0.849206349206349,3.41602976251501e-07,"Group_A"
"GO:0015629",1.08970246717733e-09,0.00920134021163796,0.944444444444444,0.119047619047619,0.825396825396825,8.41611037069047e-07,"Group_A"
"GO:0016071",8.66577707013964e-10,0.0114983143361047,0.888888888888889,0.0714285714285714,0.817460317460317,8.41611037069047e-07,"Group_A"
"GO:0042659",2.30100753406172e-10,0.00610696429088827,0.833333333333333,0.0238095238095238,0.80952380952381,3.41602976251501e-07,"Group_A"
"GO:0001501",4.07412707612308e-09,0.0111186478789416,0.944444444444444,0.142857142857143,0.801587301587302,1.11320267339846e-06,"Group_A"
"GO:0009059",4.07412707612308e-09,0.0111186478789416,0.944444444444444,0.142857142857143,0.801587301587302,1.11320267339846e-06,"Group_A"
"GO:0033673",4.07412707612308e-09,0.0111186478789416,0.944444444444444,0.142857142857143,0.801587301587302,1.11320267339846e-06,"Group_A"
"GO:0051348",4.07412707612308e-09,0.0111186478789416,0.944444444444444,0.142857142857143,0.801587301587302,1.11320267339846e-06,"Group_A"
"GO:0006351",4.13488405306898e-09,0.01522862917477,0.888888888888889,0.0952380952380952,0.793650793650794,1.11320267339846e-06,"Group_A"
"GO:0016788",4.13488405306898e-09,0.01522862917477,0.888888888888889,0.0952380952380952,0.793650793650794,1.11320267339846e-06,"Group_A"
"GO:0030163",4.13488405306898e-09,0.01522862917477,0.888888888888889,0.0952380952380952,0.793650793650794,1.11320267339846e-06,"Group_A"
"GO:0030707",4.13488405306898e-09,0.01522862917477,0.888888888888889,0.0952380952380952,0.793650793650794,1.11320267339846e-06,"Group_A"
"GO:0032774",4.13488405306898e-09,0.01522862917477,0.888888888888889,0.0952380952380952,0.793650793650794,1.11320267339846e-06,"Group_A"
"GO:0097659",4.13488405306898e-09,0.01522862917477,0.888888888888889,0.0952380952380952,0.793650793650794,1.11320267339846e-06,"Group_A"
"GO:0034660",1.83104417710486e-09,0.0119493331249536,0.833333333333333,0.0476190476190476,0.785714285714286,8.41611037069047e-07,"Group_A"
"GO:0051186",1.83104417710486e-09,0.0119493331249536,0.833333333333333,0.0476190476190476,0.785714285714286,8.41611037069047e-07,"Group_A"
"GO:1905330",1.83104417710486e-09,0.0119493331249536,0.833333333333333,0.0476190476190476,0.785714285714286,8.41611037069047e-07,"Group_A"
"GO:0002066",1.36150675247991e-08,0.0131365814492497,0.944444444444444,0.166666666666667,0.777777777777778,1.91798305887141e-06,"Group_A"
"GO:0005975",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,3.05316306823156e-07,"Group_A"
"GO:0006643",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,3.05316306823156e-07,"Group_A"
"GO:0006665",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,3.05316306823156e-07,"Group_A"
"GO:0007560",1.36150675247991e-08,0.0131365814492497,0.944444444444444,0.166666666666667,0.777777777777778,1.91798305887141e-06,"Group_A"
"GO:0009886",1.36150675247991e-08,0.0131365814492497,0.944444444444444,0.166666666666667,0.777777777777778,1.91798305887141e-06,"Group_A"
"GO:0042067",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,3.05316306823156e-07,"Group_A"
"GO:0045862",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,3.05316306823156e-07,"Group_A"
"GO:0046662",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,3.05316306823156e-07,"Group_A"
"GO:0048563",1.36150675247991e-08,0.0131365814492497,0.944444444444444,0.166666666666667,0.777777777777778,1.91798305887141e-06,"Group_A"
"GO:0048707",1.36150675247991e-08,0.0131365814492497,0.944444444444444,0.166666666666667,0.777777777777778,1.91798305887141e-06,"Group_A"
"GO:0007169",1.65544481680781e-08,0.0191089116015464,0.888888888888889,0.119047619047619,0.76984126984127,2.01169522162369e-06,"Group_A"
"GO:0009057",1.65544481680781e-08,0.0191089116015464,0.888888888888889,0.119047619047619,0.76984126984127,2.01169522162369e-06,"Group_A"
"GO:0098542",1.65544481680781e-08,0.0191089116015464,0.888888888888889,0.119047619047619,0.76984126984127,2.01169522162369e-06,"Group_A"
"GO:0001736",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0001745",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0006396",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0006397",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0007164",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0007635",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0042048",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0042578",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0048749",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0050829",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:1990904",1.02701257904003e-08,0.017792654458851,0.833333333333333,0.0714285714285714,0.761904761904762,1.91798305887141e-06,"Group_A"
"GO:0043235",1.41866924972143e-08,0,1,0.238095238095238,0.761904761904762,1.97553769659484e-06,"Group_A"
"GO:0000790",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0002064",4.14428105001043e-08,0.0152672198526895,0.944444444444444,0.19047619047619,0.753968253968254,3.71910851265751e-06,"Group_A"
"GO:0002165",4.14428105001043e-08,0.0152672198526895,0.944444444444444,0.19047619047619,0.753968253968254,3.71910851265751e-06,"Group_A"
"GO:0004721",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0006470",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0006518",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0007351",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0007444",4.14428105001043e-08,0.0152672198526895,0.944444444444444,0.19047619047619,0.753968253968254,3.71910851265751e-06,"Group_A"
"GO:0007548",4.14428105001043e-08,0.0152672198526895,0.944444444444444,0.19047619047619,0.753968253968254,3.71910851265751e-06,"Group_A"
"GO:0007552",4.14428105001043e-08,0.0152672198526895,0.944444444444444,0.19047619047619,0.753968253968254,3.71910851265751e-06,"Group_A"
"GO:0008595",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0009948",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0016311",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0016485",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0016791",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0042176",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0043043",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0044452",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0048569",4.14428105001043e-08,0.0152672198526895,0.944444444444444,0.19047619047619,0.753968253968254,3.71910851265751e-06,"Group_A"
"GO:0060281",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0060562",4.14428105001043e-08,0.0152672198526895,0.944444444444444,0.19047619047619,0.753968253968254,3.71910851265751e-06,"Group_A"
"GO:1900193",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:1905879",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,8.41611037069047e-07,"Group_A"
"GO:0000122",5.77937700371467e-08,0.0231531299040429,0.888888888888889,0.142857142857143,0.746031746031746,4.54656833766255e-06,"Group_A"
"GO:0010467",5.77937700371467e-08,0.0231531299040429,0.888888888888889,0.142857142857143,0.746031746031746,4.54656833766255e-06,"Group_A"
"GO:0016070",5.77937700371467e-08,0.0231531299040429,0.888888888888889,0.142857142857143,0.746031746031746,4.54656833766255e-06,"Group_A"
"GO:0016887",5.77937700371467e-08,0.0231531299040429,0.888888888888889,0.142857142857143,0.746031746031746,4.54656833766255e-06,"Group_A"
"GO:0034622",5.77937700371467e-08,0.0231531299040429,0.888888888888889,0.142857142857143,0.746031746031746,4.54656833766255e-06,"Group_A"
"GO:0034645",5.77937700371467e-08,0.0231531299040429,0.888888888888889,0.142857142857143,0.746031746031746,4.54656833766255e-06,"Group_A"
"GO:0006366",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0006974",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0010453",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0010631",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0042742",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0044257",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0044265",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0044430",3.74012802199288e-08,0,1,0.261904761904762,0.738095238095238,3.53997273331591e-06,"Group_A"
"GO:0046661",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0048639",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0051603",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0090130",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:0090132",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:1901137",4.55334311030994e-08,0.0237480322097369,0.833333333333333,0.0952380952380952,0.738095238095238,3.7272805257706e-06,"Group_A"
"GO:1905114",3.74012802199288e-08,0,1,0.261904761904762,0.738095238095238,3.53997273331591e-06,"Group_A"
"GO:0000228",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0002168",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0007350",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0010927",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0017145",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0030055",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0030431",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0030674",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0035282",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0042692",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0043603",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0043604",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0044454",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0050806",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0051146",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0051604",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0060090",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,2.01169522162369e-06,"Group_A"
"GO:0006914",1.65825942954715e-09,0,0.722222222222222,0,0.722222222222222,8.41611037069047e-07,"Group_A"
"GO:0008643",1.65825942954715e-09,0,0.722222222222222,0,0.722222222222222,8.41611037069047e-07,"Group_A"
"GO:0017111",1.80581525376629e-07,0.0274812836189182,0.888888888888889,0.166666666666667,0.722222222222222,9.30955395718238e-06,"Group_A"
"GO:0030100",1.80581525376629e-07,0.0274812836189182,0.888888888888889,0.166666666666667,0.722222222222222,9.30955395718238e-06,"Group_A"
"GO:0034399",1.65825942954715e-09,0,0.722222222222222,0,0.722222222222222,8.41611037069047e-07,"Group_A"
"GO:0034654",1.80581525376629e-07,0.0274812836189182,0.888888888888889,0.166666666666667,0.722222222222222,9.30955395718238e-06,"Group_A"
"GO:0043473",1.65825942954715e-09,0,0.722222222222222,0,0.722222222222222,8.41611037069047e-07,"Group_A"
"GO:0061919",1.65825942954715e-09,0,0.722222222222222,0,0.722222222222222,8.41611037069047e-07,"Group_A"
"GO:0098793",1.80581525376629e-07,0.0274812836189182,0.888888888888889,0.166666666666667,0.722222222222222,9.30955395718238e-06,"Group_A"
"GO:1901565",1.80581525376629e-07,0.0274812836189182,0.888888888888889,0.166666666666667,0.722222222222222,9.30955395718238e-06,"Group_A"
"GO:0001667",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0002119",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0003924",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0005261",1.87006401099644e-07,0,1,0.285714285714286,0.714285714285714,9.47942489256145e-06,"Group_A"
"GO:0005730",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0005813",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0006909",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0006937",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0015276",1.87006401099644e-07,0,1,0.285714285714286,0.714285714285714,9.47942489256145e-06,"Group_A"
"GO:0018105",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0018209",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0022834",1.87006401099644e-07,0,1,0.285714285714286,0.714285714285714,9.47942489256145e-06,"Group_A"
"GO:0042391",1.87006401099644e-07,0,1,0.285714285714286,0.714285714285714,9.47942489256145e-06,"Group_A"
"GO:0045995",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0090257",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:1903429",1.6972907225319e-07,0.0299954956293228,0.833333333333333,0.119047619047619,0.714285714285714,8.94029439281478e-06,"Group_A"
"GO:0000578",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0003713",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0007088",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0008217",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0008593",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0009952",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0040024",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0042303",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0090598",9.25511715200311e-08,0.0247576460332841,0.777777777777778,0.0714285714285714,0.706349206349206,6.016200681187e-06,"Group_A"
"GO:0009314",3.0602722386848e-07,0.0199158829725389,0.944444444444444,0.238095238095238,0.706349206349206,1.507121876897e-05,"Group_A"
"GO:0009791",3.0602722386848e-07,0.0199158829725389,0.944444444444444,0.238095238095238,0.706349206349206,1.507121876897e-05,"Group_A"
"GO:0015630",3.0602722386848e-07,0.0199158829725389,0.944444444444444,0.238095238095238,0.706349206349206,1.507121876897e-05,"Group_A"
"GO:0050795",3.0602722386848e-07,0.0199158829725389,0.944444444444444,0.238095238095238,0.706349206349206,1.507121876897e-05,"Group_A"
"GO:1901362",3.0602722386848e-07,0.0199158829725389,0.944444444444444,0.238095238095238,0.706349206349206,1.507121876897e-05,"Group_A"
"GO:0000187",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0000375",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0000377",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0000398",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0001158",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0002164",5.1451444108029e-07,0.0319917107275243,0.888888888888889,0.19047619047619,0.698412698412698,2.09893568541412e-05,"Group_A"
"GO:0003002",5.1451444108029e-07,0.0319917107275243,0.888888888888889,0.19047619047619,0.698412698412698,2.09893568541412e-05,"Group_A"
"GO:0004715",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0005759",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0006281",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0006412",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0007044",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0007292",5.1451444108029e-07,0.0319917107275243,0.888888888888889,0.19047619047619,0.698412698412698,2.09893568541412e-05,"Group_A"
"GO:0008233",5.1451444108029e-07,0.0319917107275243,0.888888888888889,0.19047619047619,0.698412698412698,2.09893568541412e-05,"Group_A"
"GO:0008380",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0016462",5.1451444108029e-07,0.0319917107275243,0.888888888888889,0.19047619047619,0.698412698412698,2.09893568541412e-05,"Group_A"
"GO:0016817",5.1451444108029e-07,0.0319917107275243,0.888888888888889,0.19047619047619,0.698412698412698,2.09893568541412e-05,"Group_A"
"GO:0016818",5.1451444108029e-07,0.0319917107275243,0.888888888888889,0.19047619047619,0.698412698412698,2.09893568541412e-05,"Group_A"
"GO:0035326",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0040029",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
"GO:0043230",2.09222945047119e-08,0.0108881497697171,0.722222222222222,0.0238095238095238,0.698412698412698,2.01169522162369e-06,"Group_A"
