Desc	Orthogroup	Acal	Aful	Aric	Aste	Bcal	Bgla	Bner	Cgig	Ctel	Cuni	Dcar	Dgyr	Dpol	Eand	Echl	Gaeg	Gmag	Hhan	Hman	Hmed	Hrob	Hrub	Lana	Lgig	Llon	Lluy	Mcal	Mcor	Mlig	Mmer	Mvul	Myes	Obim	Oida	Paus	Pcro	Pech	Pesc	Ppel	Rota	Rsoc	Rsor	Smed	Spha
(null)	OG0000476	6	4	13	11	2	6	6	4	4	5	9	4	5	5	3	4	7	11	5	1	3	4	6	4	10	5	5	5	18	2	6	4	5	9	5	13	4	4	7	17	13	13	9	2
(null)	OG0000477	2	3	25	32	4	1	2	1	2	3	28	4	1	5	1	20	9	2	0	1	2	9	2	6	4	2	2	3	1	1	10	1	1	4	1	2	2	1	16	49	23	53	2	1
(null)	OG0000478	0	0	0	0	0	2	0	60	11	0	0	0	33	0	0	23	9	25	0	0	0	9	10	9	30	11	15	3	0	22	0	6	1	0	3	5	19	50	7	0	0	0	0	0
(null)	OG0000479	2	5	2	2	2	3	4	2	5	3	3	3	7	16	4	3	6	3	8	8	8	7	6	2	9	14	5	2	13	5	27	5	3	5	20	8	2	7	2	6	3	5	19	2
(null)	OG0000480	5	4	5	4	2	5	1	8	7	7	3	2	3	6	2	5	3	3	8	9	7	6	5	4	9	12	3	3	4	3	12	3	2	6	2	4	9	6	4	4	3	4	0	2
(null)	OG0000482	1	1	7	4	1	15	1	3	0	3	8	0	5	0	1	1	1	2	0	0	0	0	19	1	4	0	14	1	3	2	0	4	3	4	13	3	0	22	1	8	3	5	8	0
(null)	OG0000483	4	5	18	25	8	2	5	7	6	9	16	4	6	6	8	6	10	21	7	4	7	6	4	12	8	13	4	10	23	7	35	4	2	13	9	15	25	7	14	24	28	26	8	4
(null)	OG0000485	3	7	3	3	8	7	2	6	11	6	4	2	4	3	9	8	6	11	5	2	2	6	4	2	8	8	7	4	15	16	3	10	3	12	4	5	3	9	6	8	4	5	2	3
(null)	OG0000486	3	3	3	3	3	5	4	4	4	4	2	6	4	6	3	3	5	5	4	2	3	4	4	3	4	4	3	5	6	3	9	1	6	7	3	4	6	3	3	3	1	2	4	5
(null)	OG0000487	15	2	7	12	3	5	17	21	11	7	7	11	28	3	16	19	18	19	2	0	0	15	20	12	37	22	18	12	8	17	6	19	3	4	22	19	7	18	26	7	6	7	11	5
(null)	OG0000488	3	6	23	22	5	4	4	3	6	5	11	5	4	7	4	3	3	6	10	2	5	4	3	5	10	7	4	6	12	5	13	6	2	11	6	5	5	6	18	23	19	21	4	4
(null)	OG0000490	2	3	16	9	4	2	3	2	2	3	5	2	3	2	3	2	2	2	1	1	1	3	3	2	6	3	3	1	3	3	4	2	4	3	2	2	2	2	11	9	9	8	0	2
(null)	OG0000491	3	14	20	24	1	6	1	8	10	11	17	4	4	0	3	6	8	14	0	0	0	6	5	5	7	6	4	1	7	5	0	6	1	37	9	1	0	26	8	24	18	20	1	2
(null)	OG0000492	4	3	6	12	6	5	4	5	4	4	3	0	4	5	3	4	5	5	4	2	4	4	7	6	7	5	4	4	6	4	5	4	6	5	4	4	3	11	7	9	6	14	8	3
(null)	OG0000493	2	6	13	17	4	3	1	5	2	6	9	2	3	7	4	3	4	3	3	5	5	3	3	7	5	3	2	3	10	2	11	2	3	11	2	5	2	2	3	15	10	14	17	4
(null)	OG0000494	5	6	5	7	3	3	2	4	5	6	2	4	4	4	5	8	8	8	3	2	2	8	2	6	11	5	4	6	11	5	6	6	5	8	2	3	3	5	12	9	4	12	11	4
(null)	OG0000495	3	2	6	5	4	3	3	2	1	4	4	2	1	21	1	1	13	6	19	15	12	4	4	1	4	5	1	2	7	2	34	1	4	19	2	12	1	1	2	6	6	6	14	4
(null)	OG0000496	4	4	11	7	4	3	4	3	3	5	8	3	5	5	5	2	4	4	6	6	4	3	3	3	6	3	3	4	17	4	8	3	3	8	3	2	2	3	2	11	9	9	0	2
(null)	OG0000497	2	2	7	7	2	2	6	3	6	4	3	6	4	6	2	3	5	3	4	4	1	3	6	2	10	9	3	4	4	3	5	7	4	4	3	7	4	10	5	10	6	10	6	2
(null)	OG0000498	0	0	2	5	0	0	0	0	0	0	16	0	0	33	0	0	0	0	0	0	0	0	0	0	3	0	8	0	29	28	25	2	0	0	0	0	0	0	0	4	4	3	0	0
(null)	OG0000499	13	13	11	13	10	13	4	31	3	13	12	1	23	2	8	14	21	15	0	0	0	19	18	12	2	6	25	16	0	24	3	25	8	30	3	0	3	8	15	14	11	17	0	4
(null)	OG0000500	2	3	14	16	2	2	3	3	2	4	11	2	2	12	2	3	3	5	6	4	6	2	3	2	7	2	2	2	12	2	16	2	2	5	6	6	2	2	5	12	13	12	19	4
(null)	OG0000501	4	4	5	9	2	2	3	5	3	2	6	3	4	2	3	2	4	7	2	2	2	3	3	4	5	2	4	4	9	3	3	2	4	5	5	6	1	9	8	11	7	10	4	2
(null)	OG0000502	3	3	5	7	3	2	6	1	11	3	3	3	2	2	2	2	6	4	5	1	2	2	2	2	6	3	2	2	2	3	2	2	2	1	3	4	2	3	4	4	1	2	3	2
(null)	OG0000503	2	4	3	5	3	2	6	2	3	4	3	2	8	5	4	5	3	6	3	2	4	6	7	3	5	3	2	2	1	6	8	1	4	4	2	7	2	4	3	5	4	5	6	4
(null)	OG0000504	2	4	8	9	2	4	3	4	4	3	7	2	5	5	3	8	4	5	2	1	1	4	4	4	7	5	5	3	16	5	5	5	6	5	4	9	2	5	5	12	8	7	5	4
(null)	OG0000505	0	0	21	31	19	0	0	1	7	0	43	0	0	1	0	0	3	88	0	0	0	0	1	4	5	1	2	0	13	2	9	0	0	0	0	1	0	22	0	26	33	22	0	0
(null)	OG0000506	4	4	8	8	2	4	4	3	3	4	5	4	2	7	3	3	2	4	5	6	5	5	3	3	6	8	2	3	23	3	9	4	3	6	3	7	4	3	5	9	5	7	16	3
(null)	OG0000507	4	7	5	7	7	6	5	5	5	14	5	3	7	4	2	3	7	11	8	7	4	3	3	5	6	7	3	3	16	3	9	3	2	24	3	12	4	8	6	13	5	11	5	3
(null)	OG0000508	5	5	0	2	1	3	9	6	4	5	5	2	6	2	5	4	7	7	1	2	1	7	10	5	7	3	5	10	12	6	1	5	3	9	5	13	2	5	7	2	1	1	5	5
(null)	OG0000509	3	4	2	4	1	4	2	8	5	4	1	3	4	2	3	3	3	3	0	0	0	5	4	3	5	5	9	3	1	5	2	6	3	4	4	1	2	9	5	4	4	1	2	0
(null)	OG0000510	4	6	4	5	3	3	3	3	7	8	4	2	3	6	5	5	4	6	4	4	5	4	6	4	11	6	3	4	14	4	11	3	4	9	4	4	4	4	8	5	3	4	3	2
(null)	OG0000511	2	0	2	3	0	0	0	53	3	0	5	0	39	1	2	33	12	19	0	0	0	45	6	3	14	7	20	5	0	23	0	1	1	0	1	64	1	13	0	4	3	2	0	2
(null)	OG0000512	4	4	15	12	4	3	3	3	3	3	10	3	3	4	3	3	1	3	6	4	3	3	3	3	7	4	3	3	11	3	6	3	3	4	4	5	4	3	6	15	11	13	1	3
(null)	OG0000513	2	2	5	5	10	11	4	9	2	2	8	5	8	6	2	28	16	9	2	1	2	14	10	4	3	21	9	19	7	11	4	8	27	4	4	5	11	4	9	11	3	6	17	6
(null)	OG0000515	4	7	12	13	4	3	1	7	3	7	6	3	4	5	3	5	4	4	5	4	4	3	5	3	7	4	3	3	7	4	9	3	3	7	3	3	3	3	4	6	7	8	16	2
(null)	OG0000516	2	1	12	14	6	2	3	2	3	3	6	5	3	10	4	7	2	7	3	3	4	2	3	2	3	2	1	2	14	3	13	2	2	2	2	3	2	3	2	6	9	12	7	2
(null)	OG0000517	4	5	7	8	3	3	6	4	2	3	5	5	5	3	4	7	6	7	4	5	2	5	6	0	6	4	5	7	4	4	5	5	5	6	5	3	3	5	6	10	6	8	3	5
(null)	OG0000518	2	3	0	0	1	2	6	6	0	4	0	1	3	18	3	6	6	12	12	12	11	6	1	6	5	2	4	2	16	10	34	3	4	14	3	20	1	2	8	0	0	0	14	3
(null)	OG0000519	2	4	16	9	4	2	3	4	4	5	4	3	3	7	3	3	3	5	3	3	2	3	3	3	11	3	4	3	12	3	6	3	5	10	3	8	4	2	5	8	8	7	12	1
(null)	OG0000520	3	5	6	8	3	3	3	3	3	5	6	4	3	7	3	3	1	4	4	4	4	4	4	3	7	3	3	3	3	2	12	3	3	12	3	5	3	3	4	5	4	3	2	3
(null)	OG0000521	6	5	3	2	0	4	3	6	11	5	1	6	14	9	7	3	7	5	7	7	7	6	6	3	6	6	6	5	5	6	20	4	4	9	6	9	3	3	3	5	1	5	6	2
(null)	OG0000522	2	5	4	3	1	2	6	2	5	4	2	1	3	6	2	3	5	5	3	2	4	2	6	5	11	4	2	5	2	2	5	2	3	8	3	5	3	2	6	4	2	4	0	5
(null)	OG0000524	5	6	0	0	0	3	0	32	1	7	0	0	13	0	5	5	7	10	0	0	0	5	1	5	1	0	17	3	0	9	0	10	2	13	1	3	0	2	6	0	0	0	1	3
(null)	OG0000525	3	3	2	3	2	2	3	4	3	2	0	2	1	9	2	4	3	2	4	3	3	11	3	2	4	9	5	2	0	2	19	1	3	4	3	2	8	3	3	3	2	3	9	3
(null)	OG0000526	3	2	9	27	2	2	3	3	3	3	9	2	4	4	2	2	6	3	5	3	2	5	3	2	8	3	4	2	9	6	6	6	2	6	2	2	3	4	6	8	8	6	5	2
(null)	OG0000528	2	3	12	12	6	2	3	2	4	3	8	4	3	9	3	3	2	2	4	3	4	1	2	2	6	3	2	2	13	2	17	2	3	2	2	3	3	2	5	15	9	11	11	3
(null)	OG0000529	0	2	5	8	3	1	2	3	3	2	3	3	2	1	1	1	1	2	2	1	2	1	2	1	0	4	1	3	10	1	1	2	3	2	1	3	1	3	0	3	4	3	0	0
(null)	OG0000530	5	3	0	0	1	2	4	4	4	5	0	1	5	16	7	6	4	7	7	6	8	8	2	4	6	5	5	5	5	4	26	2	1	8	3	5	2	4	9	0	0	0	1	4
(null)	OG0000531	5	4	0	0	0	22	0	0	22	4	1	0	34	4	51	52	3	22	0	0	28	1	0	0	1	0	1	1	0	30	0	0	0	49	0	9	0	10	1	0	0	0	0	1
(null)	OG0000532	16	6	0	0	4	8	9	4	3	4	0	1	5	0	13	11	24	31	0	0	0	41	45	11	6	17	8	4	9	16	0	14	3	3	15	7	14	16	19	0	0	0	6	1
(null)	OG0000535	2	3	6	5	3	3	2	2	2	4	5	2	3	9	2	3	2	2	5	7	7	3	2	3	5	2	2	2	5	2	12	2	2	8	2	5	2	2	4	5	8	5	9	3
(null)	OG0000536	6	4	12	10	6	5	8	5	4	8	9	7	6	6	4	5	6	8	2	2	2	5	8	7	14	18	5	10	16	5	7	5	5	8	5	8	6	6	13	14	9	15	8	3
(null)	OG0000537	0	0	17	32	16	0	0	34	1	0	40	0	40	0	0	8	18	43	0	0	0	14	12	4	1	0	8	0	0	70	0	14	0	0	4	0	0	5	6	28	24	13	0	0
(null)	OG0000538	3	3	8	9	4	3	5	3	5	3	1	4	3	4	3	3	2	3	4	3	4	4	6	4	4	5	4	2	7	3	3	3	3	2	2	3	5	4	5	7	5	7	2	2
(null)	OG0000539	7	6	3	3	2	6	2	5	6	11	2	5	12	12	7	5	6	6	5	5	5	5	5	4	7	7	5	8	6	8	18	4	11	15	5	6	6	5	7	4	4	2	4	4
(null)	OG0000540	4	7	12	15	5	3	8	5	9	7	8	5	7	13	3	6	5	8	4	6	6	4	7	7	14	7	8	5	15	6	17	7	6	5	6	4	2	7	11	13	13	14	5	3
(null)	OG0000541	6	8	20	30	0	3	4	4	4	7	22	2	4	3	7	3	15	11	0	0	0	6	16	6	3	4	5	8	10	10	2	7	2	7	11	6	2	19	5	25	8	21	2	2
(null)	OG0000542	0	0	15	7	0	0	0	0	0	0	15	0	29	0	0	7	2	19	0	0	0	2	14	0	0	0	6	0	0	69	0	0	0	0	0	0	0	0	0	10	12	8	0	0
(null)	OG0000543	2	5	2	1	0	3	2	4	4	7	3	1	3	11	3	1	7	15	2	2	0	7	5	7	4	0	7	7	6	5	7	4	1	22	6	1	0	5	11	2	1	2	0	1
(null)	OG0000544	2	2	19	20	3	1	4	4	1	2	20	1	1	3	1	1	1	6	2	1	2	1	2	1	6	1	1	1	12	1	7	1	2	3	1	3	1	1	5	31	18	27	4	2
(null)	OG0000547	3	5	8	7	3	4	2	3	3	5	3	2	3	2	2	4	3	3	3	4	2	3	3	3	5	3	2	6	3	4	2	3	2	6	3	3	3	3	5	5	4	6	1	1
(null)	OG0000548	5	5	16	28	2	2	7	4	2	10	9	1	6	6	5	2	2	15	2	1	2	3	3	2	5	6	2	3	3	1	11	1	5	17	5	12	5	4	10	33	14	39	3	0
(null)	OG0000549	7	1	17	25	5	11	3	6	5	11	14	2	24	3	10	11	16	17	1	1	0	20	16	13	13	3	10	11	15	26	3	14	6	6	11	6	2	11	14	24	15	15	2	3
(null)	OG0000550	3	2	10	9	5	2	12	5	10	5	2	3	3	5	2	4	4	12	4	3	3	3	7	4	9	4	5	3	7	7	5	8	2	3	7	4	1	10	6	8	4	8	2	2
(null)	OG0000551	3	4	6	8	2	3	10	9	6	2	5	6	3	5	5	4	4	5	3	4	3	6	5	2	8	1	3	2	10	2	7	5	4	8	3	3	1	8	4	6	9	7	2	3
(null)	OG0000552	4	4	1	3	2	3	2	3	3	3	2	2	3	4	3	4	5	9	5	7	4	3	4	4	4	5	4	3	3	4	8	2	4	4	2	3	4	3	3	4	3	4	2	4
(null)	OG0000554	3	2	2	5	1	2	1	4	5	2	1	2	7	10	3	3	3	5	9	6	10	3	2	3	4	1	4	3	2	3	19	2	3	8	1	3	1	2	7	4	6	2	8	2
(null)	OG0000555	2	3	7	6	1	2	4	3	2	5	4	3	4	6	2	2	2	4	6	6	7	2	3	2	5	2	1	4	13	4	9	3	2	6	5	5	2	2	8	4	8	9	6	1
(null)	OG0000556	19	10	4	4	4	11	2	9	7	10	4	9	8	5	17	6	17	9	5	3	5	19	9	7	5	9	7	12	6	14	6	10	1	16	4	3	10	22	3	5	2	4	4	1
(null)	OG0000557	2	3	5	4	4	2	4	4	2	4	5	1	2	4	2	2	2	7	1	1	1	2	3	2	4	9	2	2	6	3	5	2	4	2	2	10	4	3	5	3	3	4	4	7
(null)	OG0000558	7	4	8	10	6	4	7	4	7	5	9	4	7	6	8	3	5	6	3	7	4	4	8	5	3	16	4	3	7	3	5	4	5	10	5	8	14	21	8	11	6	10	6	7
(null)	OG0000559	24	1	0	0	0	2	6	0	3	1	0	2	0	0	15	8	0	3	1	1	2	1	0	3	0	1	0	1	0	0	1	0	0	0	0	52	0	5	1	0	0	0	1	0
(null)	OG0000561	5	5	3	4	3	3	1	5	5	7	2	1	7	2	5	3	4	19	1	1	1	6	4	5	7	2	11	3	5	7	4	6	3	12	3	2	1	3	8	3	4	4	2	3
(null)	OG0000562	2	5	7	2	3	4	3	3	2	4	5	2	3	4	1	2	7	7	4	5	5	4	9	3	10	2	3	2	8	1	6	5	2	21	3	4	3	3	6	4	2	2	5	2
(null)	OG0000563	10	5	3	6	3	10	10	10	14	7	2	11	16	6	18	12	17	16	2	1	2	11	20	12	21	22	14	14	10	13	6	12	2	5	14	19	5	12	14	5	5	7	5	3
(null)	OG0000564	3	7	11	15	8	3	3	3	4	4	13	1	5	6	3	3	3	5	5	5	6	3	3	3	8	3	4	3	10	3	8	2	4	5	3	3	3	3	5	20	9	23	10	3
(null)	OG0000565	3	5	8	7	5	4	4	6	8	6	4	4	4	9	3	5	10	5	4	5	4	6	3	4	8	4	6	4	10	5	10	3	4	8	4	6	4	5	5	9	5	6	4	4
(null)	OG0000566	2	4	7	9	3	3	2	2	2	3	6	2	4	6	3	3	2	3	3	2	2	2	3	2	6	2	3	2	10	5	11	2	2	6	2	2	2	2	7	9	8	9	3	2
(null)	OG0000567	11	4	0	0	0	1	9	0	13	2	0	1	12	20	24	11	31	0	0	0	1	0	0	40	1	9	4	1	0	14	40	1	4	2	1	66	6	31	1	0	0	0	0	1
(null)	OG0000568	2	4	9	9	2	2	5	5	5	5	13	2	10	5	2	8	8	8	2	2	4	5	6	4	5	10	5	4	6	13	26	4	6	7	2	2	11	6	2	8	8	4	4	5
(null)	OG0000569	3	3	3	5	2	3	3	3	5	5	8	0	3	3	3	3	3	6	3	3	4	4	4	5	6	2	3	3	6	4	5	2	3	10	3	4	3	3	4	6	3	4	7	3
(null)	OG0000570	8	3	3	4	6	7	4	24	4	2	2	2	31	4	8	8	11	15	0	0	0	16	8	7	16	2	0	1	29	18	5	22	1	2	9	16	1	21	6	2	3	1	7	1
(null)	OG0000571	3	12	4	7	2	3	2	3	4	5	7	3	3	3	3	2	3	3	2	2	3	4	3	3	3	3	2	3	6	3	7	2	2	8	3	1	3	3	2	8	7	9	2	1
(null)	OG0000572	7	7	4	6	3	4	4	4	11	7	2	3	8	2	10	1	7	7	0	0	0	5	6	5	4	0	6	3	3	14	1	10	2	8	7	7	0	16	4	8	3	4	1	3
(null)	OG0000573	2	3	9	10	5	6	4	1	3	4	8	3	3	6	3	2	2	4	6	4	4	2	5	2	3	3	4	4	10	2	8	1	5	11	2	5	2	7	2	19	9	18	20	4
(null)	OG0000575	2	2	16	21	5	1	8	1	1	4	21	1	1	1	1	2	2	4	0	0	0	1	1	1	4	3	1	1	11	1	2	1	1	5	1	5	1	8	3	28	10	28	15	1
(null)	OG0000576	1	3	8	13	4	1	8	1	1	4	18	1	2	15	2	1	2	2	10	7	10	1	2	1	7	2	1	2	8	1	25	1	2	10	1	4	3	1	4	23	5	19	17	1
(null)	OG0000577	3	2	4	6	1	4	5	4	4	6	2	5	4	5	5	3	6	7	3	4	2	3	4	4	8	3	3	2	6	3	5	3	7	5	6	3	2	3	7	6	2	6	8	4
(null)	OG0000578	4	5	2	5	2	4	6	6	4	4	4	4	4	4	4	5	4	2	4	4	4	4	9	3	12	5	5	5	13	7	4	4	3	5	5	3	5	5	5	7	6	8	5	3
(null)	OG0000579	0	0	0	0	0	0	0	3	45	0	0	0	15	39	0	6	44	40	0	0	4	3	1	6	6	18	3	0	0	24	20	5	7	0	1	36	0	17	2	0	0	0	0	1
(null)	OG0000580	1	2	3	4	4	2	15	7	6	1	4	1	1	10	1	3	1	1	3	9	2	1	2	1	5	1	1	1	9	1	6	1	1	2	1	2	1	3	3	4	2	3	5	2
(null)	OG0000581	4	4	4	4	1	2	5	2	3	6	2	3	1	6	4	4	4	6	5	2	10	2	4	2	7	5	2	3	13	4	19	1	5	11	2	8	6	2	8	4	8	2	8	3
(null)	OG0000582	3	3	22	31	5	2	2	4	4	3	18	1	3	3	3	4	2	7	6	6	8	3	3	4	3	2	1	2	5	2	5	3	2	2	3	1	3	7	4	17	24	20	4	1
(null)	OG0000583	1	0	12	8	66	0	2	1	0	0	88	0	2	2	0	51	16	4	0	0	0	13	2	0	5	5	0	0	0	3	4	0	3	0	1	1	0	20	4	17	40	14	0	1
(null)	OG0000584	5	6	17	18	3	7	3	7	10	6	9	5	6	10	3	5	6	3	8	3	3	5	8	5	5	5	4	5	9	3	6	5	2	12	6	2	5	15	7	15	9	15	2	1
(null)	OG0000585	3	4	9	8	4	3	2	2	4	6	7	2	5	6	1	4	2	4	7	2	6	3	3	2	7	2	4	2	19	4	9	1	3	11	2	6	2	2	5	10	5	7	4	3
(null)	OG0000586	2	6	8	7	3	3	6	5	5	5	10	4	5	3	3	3	3	7	3	3	3	4	3	4	7	5	4	4	7	3	3	3	3	4	3	4	3	3	4	8	7	8	5	4
(null)	OG0000587	8	5	7	14	2	1	4	2	2	8	4	2	3	2	2	1	8	5	3	3	5	3	3	1	8	5	1	6	9	2	10	1	6	5	5	5	4	2	5	10	11	11	3	4
(null)	OG0000588	6	6	18	19	3	5	20	4	2	7	10	3	4	2	6	9	11	15	5	2	1	7	7	5	16	5	4	10	11	4	1	4	5	16	7	8	4	4	9	25	14	18	6	3
(null)	OG0000589	2	4	13	9	4	2	2	2	8	2	8	2	1	8	2	2	7	3	2	2	3	2	5	2	5	2	2	2	6	2	10	3	2	5	2	2	2	2	3	9	8	8	1	2
(null)	OG0000590	3	5	3	2	1	4	6	5	6	4	7	3	5	6	5	4	5	3	3	2	3	4	6	4	11	6	5	4	6	5	6	5	4	8	7	5	4	5	7	2	5	2	5	2
(null)	OG0000591	4	2	4	7	2	2	1	4	2	3	3	4	7	5	3	2	3	6	4	4	4	2	3	2	7	2	2	2	9	2	15	2	2	9	5	8	1	2	7	5	14	6	6	2
(null)	OG0000592	2	3	2	4	0	3	5	2	4	3	2	4	4	11	4	3	3	4	6	7	5	1	7	4	5	4	4	3	5	3	14	2	2	5	2	2	2	2	6	2	2	4	0	2
(null)	OG0000593	3	4	1	1	1	2	2	2	2	2	1	4	6	9	3	2	2	2	7	4	7	2	4	2	4	3	2	2	9	2	12	2	2	11	2	1	2	2	5	0	1	0	0	2
(null)	OG0000594	5	1	0	0	0	1	9	2	29	9	2	5	9	12	6	7	8	17	2	0	3	4	10	6	10	12	1	2	6	6	12	2	6	3	5	4	10	2	4	0	1	0	2	4
(null)	OG0000596	2	3	1	5	2	11	0	9	7	2	10	1	22	17	2	10	14	11	0	0	0	18	11	7	4	16	10	6	0	15	9	6	4	1	1	6	9	21	15	18	10	16	5	5
(null)	OG0000597	1	1	3	4	1	1	3	1	4	2	3	4	12	7	2	1	1	3	4	2	4	1	1	1	4	9	1	1	6	3	11	1	1	1	2	5	3	7	3	4	2	5	3	1
(null)	OG0000598	2	4	4	7	2	2	4	2	2	4	5	3	3	9	2	2	5	5	12	7	7	2	3	2	10	4	2	4	13	3	14	2	4	6	2	8	4	2	7	8	10	7	5	2
(null)	OG0000599	4	4	14	22	3	2	5	2	1	4	9	2	2	1	4	5	5	12	1	1	1	3	3	4	7	7	1	3	13	2	3	2	2	7	2	9	6	3	6	31	17	21	2	3
(null)	OG0000600	0	0	0	0	0	0	0	10	1	0	0	0	76	0	0	21	93	65	0	0	0	7	3	6	3	3	1	6	0	44	0	1	0	0	0	0	0	2	1	0	0	0	0	0
(null)	OG0000601	2	2	4	7	2	4	3	3	2	4	4	2	4	7	2	2	3	4	4	3	6	2	2	3	7	1	2	2	8	4	8	2	3	3	2	3	2	2	4	8	8	7	6	2
(null)	OG0000602	2	4	1	2	2	2	2	2	4	4	2	2	3	4	2	2	5	8	2	1	2	2	5	5	8	3	3	1	2	2	9	2	2	3	4	4	4	2	5	2	5	2	5	3
(null)	OG0000603	2	4	4	4	2	3	2	3	2	3	2	2	2	5	2	3	2	2	4	5	5	3	2	2	9	2	5	2	6	2	8	2	1	5	3	4	2	2	8	5	3	4	6	2
(null)	OG0000604	1	4	4	4	1	1	2	2	1	3	3	2	5	5	1	2	2	7	3	1	3	3	2	2	3	2	2	5	0	3	6	2	3	8	1	0	1	1	4	4	4	6	0	1
(null)	OG0000605	2	3	9	9	2	2	3	2	3	8	5	2	4	8	2	2	5	1	6	5	8	3	2	2	6	4	2	2	12	3	12	2	3	8	3	4	3	2	3	10	9	11	7	3
(null)	OG0000606	0	0	0	0	0	0	0	13	1	0	2	0	15	0	0	0	23	39	0	0	0	10	7	6	1	0	2	0	0	14	0	0	0	0	0	0	0	27	7	0	0	0	0	0
(null)	OG0000607	4	5	0	0	5	2	0	9	1	4	0	2	4	0	6	7	11	24	0	0	0	26	2	8	0	10	5	2	11	11	0	9	6	11	2	2	7	15	13	0	0	0	2	3
(null)	OG0000608	5	12	3	4	1	5	1	14	9	12	3	7	12	16	6	4	7	2	6	3	8	4	18	7	3	12	15	9	3	12	23	5	2	14	1	1	1	8	6	4	3	4	6	3
(null)	OG0000609	2	3	11	7	2	2	4	3	2	5	2	3	3	5	3	2	4	4	4	3	5	2	6	2	6	3	2	3	7	3	8	2	4	9	2	4	2	3	11	6	5	6	6	3
(null)	OG0000610	3	3	3	10	4	8	1	2	21	3	8	3	2	4	3	1	2	2	7	3	3	2	2	2	6	3	2	6	15	2	7	2	2	8	2	5	2	15	3	7	3	4	23	2
(null)	OG0000611	6	2	0	0	0	10	17	50	6	2	0	3	20	17	1	17	24	5	2	1	1	38	33	14	3	10	25	5	0	51	5	21	0	2	19	0	2	19	4	0	0	0	0	0
(null)	OG0000612	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
(null)	OG0000613	4	5	6	7	3	5	2	3	3	6	7	4	3	4	4	3	3	4	3	4	2	3	5	3	4	3	3	4	8	3	7	3	4	13	3	3	3	3	5	7	8	6	6	3
(null)	OG0000614	5	5	9	9	3	4	7	5	5	4	6	2	4	8	5	5	5	7	6	4	4	4	5	5	6	5	5	4	4	5	13	7	3	4	6	4	2	7	6	9	6	6	4	4
(null)	OG0000615	4	5	13	9	2	4	6	3	2	5	10	3	5	5	4	2	3	4	1	1	1	4	4	3	2	3	6	3	7	5	6	3	3	11	2	1	1	7	6	15	12	11	5	3
(null)	OG0000616	4	3	9	11	3	3	2	4	3	6	7	5	6	2	4	3	4	5	4	4	5	4	6	5	7	3	7	6	2	5	5	4	5	4	5	3	2	4	6	10	8	9	7	4
(null)	OG0000617	1	2	10	10	3	1	2	0	6	2	5	2	1	3	1	2	1	5	2	2	2	1	2	5	2	1	1	1	2	6	4	2	1	4	1	2	1	8	2	11	6	17	1	0
(null)	OG0000618	3	3	3	2	1	3	8	2	3	3	3	4	4	7	2	3	1	4	2	5	4	3	5	3	6	4	3	4	4	3	5	2	3	5	3	4	3	3	3	2	3	4	3	3
(null)	OG0000619	3	4	4	4	5	3	5	3	3	3	2	5	3	6	3	5	4	4	4	6	5	3	6	3	9	3	3	3	14	3	10	3	4	7	3	6	4	5	4	6	5	6	4	4
(null)	OG0000620	1	1	5	3	2	2	2	2	3	2	5	2	9	3	2	5	7	4	3	2	7	6	2	2	2	5	2	4	3	3	4	1	6	3	5	2	1	3	3	10	4	11	2	1
(null)	OG0000621	3	3	3	5	2	2	2	3	3	4	4	5	5	6	1	5	9	8	6	2	6	8	6	9	6	6	6	4	0	5	6	6	6	1	5	0	5	3	8	4	4	4	1	0
(null)	OG0000622	2	3	16	16	5	2	4	3	2	3	14	3	3	8	2	3	3	3	3	4	17	3	2	2	2	3	2	2	7	2	10	2	4	6	2	3	1	2	2	22	13	22	9	3
(null)	OG0000623	1	4	2	2	1	2	4	2	3	4	2	2	2	5	4	2	3	2	2	4	3	2	5	4	3	3	2	3	7	3	18	2	2	9	2	5	2	2	4	0	1	2	4	2
(null)	OG0000624	5	8	23	21	1	2	4	5	2	5	13	2	4	7	2	5	6	10	4	5	4	4	2	5	6	3	3	9	7	3	18	5	5	9	3	4	1	2	6	24	13	21	11	5
(null)	OG0000625	6	7	2	2	1	6	16	7	8	6	4	2	4	1	6	8	16	6	1	1	1	16	22	8	3	14	9	8	1	6	1	7	3	20	5	2	13	7	12	2	2	3	1	1
(null)	OG0000626	1	1	8	7	1	1	5	1	2	1	5	2	1	4	1	1	1	4	0	0	3	1	2	1	3	1	1	2	6	1	3	1	4	2	1	2	1	2	1	23	8	12	2	1
(null)	OG0000627	2	4	10	8	4	2	2	4	2	4	8	2	4	2	2	4	6	6	3	2	1	4	3	5	8	2	4	3	5	7	7	1	4	8	4	2	2	2	4	9	6	8	5	2
(null)	OG0000628	2	2	12	17	0	2	2	2	2	2	9	2	11	19	1	2	1	2	15	10	18	1	2	1	5	3	1	1	8	1	32	0	1	12	1	3	3	2	2	18	10	15	15	1
(null)	OG0000629	4	5	22	21	2	4	3	3	2	5	16	1	3	2	5	6	5	6	2	2	2	4	2	4	8	4	4	5	5	6	7	2	2	13	3	3	1	4	8	29	13	23	1	2
