FamilyID	TaxonID	Count	Change	Pvalue
OG0000012	Dapu	9	-1	0.702449
OG0000012	Dpul	9	-1	0.702449
OG0000012	73	18	1	0.42058
OG0000012	Iele	16	-2	0.579977
OG0000012	Dmel	9	-6	0.0266048
OG0000013	Ptep	28	5	0.161076
OG0000013	Ebro	45	29	4.07674e-10
OG0000013	47	17	0	0.754578
OG0000013	40	15	7	1.20914e-05
OG0000013	Tuco	23	8	0.013544
OG0000013	Pcau	32	17	1.22226e-05
OG0000013	46	17	1	0.260908
OG0000013	Nstr	6	-11	0.000240482
OG0000013	52	21	-1	0.548294
OG0000013	49	22	0	0.675686
OG0000013	Caug	22	4	0.194451
OG0000013	41	14	6	1.71318e-08
OG0000013	42	17	3	0.284508
OG0000013	Psam	23	6	0.103252
OG0000013	Ppac	15	-2	0.742767
OG0000013	Anas	12	-6	0.0367255
OG0000013	60	20	1	0.503572
OG0000013	Popi	24	2	0.539083
OG0000013	Dpte	15	-6	0.105915
OG0000013	43	15	1	0.0417721
OG0000013	48	22	5	0.00231512
OG0000013	44	21	6	0.0692273
OG0000013	Hexe	18	-3	0.596186
OG0000013	Rvar	35	14	0.00315418
OG0000013	45	16	1	0.0937635
OG0000013	Lpol	67	45	2.34223e-16
OG0000013	50	23	1	0.287092
OG0000013	54	17	0	0.79022
OG0000013	Cscu	30	7	0.0728583
OG0000013	Dsil	16	-5	0.179905
OG0000013	57	17	0	0.842598
OG0000013	Dste	10	-7	0.029122
OG0000013	Eaff	26	6	0.0778806
OG0000013	Znev	17	-1	0.810082
OG0000013	62	18	-1	0.701805
OG0000013	53	17	0	0.683996
OG0000013	55	17	0	0.869184
OG0000013	Smar	16	-1	0.814089
OG0000013	51	22	0	0.754815
OG0000013	56	17	0	0.833201
OG0000013	Hhol	12	-5	0.144397
OG0000013	Gmae	18	1	0.698676
OG0000013	Rimm	20	3	0.309903
OG0000013	Tcas	16	-1	0.797411
OG0000013	Hazt	18	0	0.932061
OG0000013	Dmag	17	1	0.627699
OG0000013	69	16	0	0.723444
OG0000013	Dgal	14	-2	0.492788
OG0000013	Tqin	21	3	0.322244
OG0000013	Hame	18	-1	0.790179
OG0000013	72	18	0	0.668757
OG0000013	58	18	1	0.174533
OG0000013	59	19	1	0.229797
OG0000013	71	18	0	0.733787
OG0000013	74	18	0	0.762029
OG0000013	75	17	-1	0.652063
OG0000013	Ppol	26	7	0.0461255
OG0000013	66	19	0	0.711597
OG0000013	Tcal	19	-1	0.815549
OG0000013	61	19	0	0.800664
OG0000013	65	19	0	0.844094
OG0000013	63	18	0	0.791092
OG0000013	Cqua	19	0	0.928725
OG0000013	64	19	1	0.361341
OG0000013	Pchi	20	1	0.666613
OG0000013	68	16	-2	0.519347
OG0000013	Pcla	24	5	0.0946895
OG0000013	67	18	0	0.733787
OG0000013	70	16	0	0.701703
OG0000013	Dapu	16	0	0.92089
OG0000013	Dpul	16	0	0.92089
OG0000013	73	18	0	0.870933
OG0000013	Iele	24	6	0.0726223
OG0000013	Dmel	17	0	0.932107
OG0000014	Ptep	27	-11	0.0205977
OG0000014	Ebro	26	3	0.412663
OG0000014	47	34	1	0.33794
OG0000014	40	12	4	0.00346877
OG0000014	Tuco	28	16	6.96481e-06
OG0000014	Pcau	14	2	0.408651
OG0000014	46	33	10	8.22177e-08
OG0000014	Nstr	27	-7	0.154633
OG0000014	52	41	2	0.196149
OG0000014	49	38	0	0.746067
OG0000014	Caug	92	44	2.50888e-11
OG0000014	41	18	10	2.19525e-14
OG0000014	42	32	14	0.00061601
OG0000014	Psam	48	16	0.0055697
OG0000014	Ppac	37	5	0.319108
OG0000014	Anas	42	4	0.322323
OG0000014	60	40	-1	0.787518
OG0000014	Popi	40	1	0.798728
OG0000014	Dpte	31	-10	0.039787
OG0000014	43	19	1	0.0535501
OG0000014	48	38	4	0.0640446
OG0000014	44	16	-3	0.436464
OG0000014	Hexe	11	-5	0.200012
OG0000014	Rvar	17	1	0.635111
OG0000014	45	23	4	0.000140655
OG0000014	Lpol	40	2	0.645913
OG0000014	50	38	0	0.86245
OG0000014	54	36	1	0.415631
OG0000014	Cscu	51	13	0.011839
OG0000014	Dsil	86	45	9.44333e-13
OG0000014	57	38	3	0.107178
OG0000014	Dste	24	-14	0.00312879
OG0000014	Eaff	49	9	0.0579981
OG0000014	Znev	35	-7	0.162363
OG0000014	62	39	-3	0.353637
OG0000014	53	35	2	0.0963042
OG0000014	55	33	-3	0.241848
OG0000014	Smar	18	-15	0.000274726
OG0000014	51	39	1	0.312644
OG0000014	56	42	6	0.00466144
OG0000014	Hhol	96	54	1.00992e-15
OG0000014	Gmae	37	-5	0.353696
OG0000014	Rimm	36	3	0.468633
OG0000014	Tcas	51	9	0.061276
OG0000014	Hazt	28	-10	0.0182346
OG0000014	Dmag	28	-6	0.132805
OG0000014	69	34	0	0.817969
OG0000014	Dgal	36	2	0.548628
OG0000014	Tqin	99	51	9.35224e-14
OG0000014	Hame	33	-5	0.23949
OG0000014	72	48	0	0.794142
OG0000014	58	41	3	0.0442118
OG0000014	59	41	0	0.861749
OG0000014	71	48	5	0.00183211
OG0000014	74	42	-1	0.609383
OG0000014	75	42	0	0.922422
OG0000014	Ppol	57	15	0.00489904
OG0000014	66	38	0	0.800634
OG0000014	Tcal	30	-10	0.0267796
OG0000014	61	42	1	0.446548
OG0000014	65	38	-1	0.703212
OG0000014	63	38	-1	0.633519
OG0000014	Cqua	48	10	0.0158423
OG0000014	64	39	0	0.900045
OG0000014	Pchi	44	5	0.211894
OG0000014	68	34	-9	0.0307161
OG0000014	Pcla	31	-7	0.0716634
OG0000014	67	43	2	0.102191
OG0000014	70	34	0	0.798741
OG0000014	Dapu	29	-5	0.202719
OG0000014	Dpul	34	0	0.946284
OG0000014	73	43	-5	0.0531002
OG0000014	Iele	34	-9	0.0621683
OG0000014	Dmel	35	-7	0.147819
OG0000015	Ptep	34	-1	0.870869
OG0000015	Ebro	27	6	0.101155
OG0000015	47	30	2	0.0808044
OG0000015	40	21	13	3.00695e-11
OG0000015	Tuco	44	23	6.09879e-07
OG0000015	Pcau	36	15	0.000423562
OG0000015	46	28	7	1.71507e-05
OG0000015	Nstr	39	9	0.0500943
OG0000015	52	32	-1	0.628926
OG0000015	49	33	0	0.727476
OG0000015	Caug	65	35	1.27983e-10
OG0000015	41	16	8	2.07099e-11
OG0000015	42	18	2	0.488524
OG0000015	Psam	31	13	0.00332611
OG0000015	Ppac	12	-6	0.144856
OG0000015	Anas	41	4	0.315823
OG0000015	60	38	4	0.0995684
OG0000015	Popi	34	1	0.781381
OG0000015	Dpte	8	-24	1.98926e-10
OG0000015	43	18	2	0.00592583
OG0000015	48	33	3	0.0884312
OG0000015	44	23	5	0.128802
OG0000015	Hexe	22	-1	0.955178
OG0000015	Rvar	31	8	0.0832025
OG0000015	45	21	3	0.00208251
OG0000015	Lpol	45	12	0.0147269
OG0000015	50	35	2	0.128517
OG0000015	54	28	0	0.844718
OG0000015	Cscu	57	22	3.26874e-05
OG0000015	Dsil	44	12	0.0110254
OG0000015	57	29	1	0.472813
OG0000015	Dste	21	-8	0.0564481
OG0000015	Eaff	44	6	0.16326
OG0000015	Znev	18	-5	0.182704
OG0000015	62	37	1	0.646538
OG0000015	53	28	0	0.748707
OG0000015	55	28	0	0.901045
OG0000015	Smar	22	-6	0.165004
OG0000015	51	33	0	0.805489
OG0000015	56	28	0	0.876013
