FamilyID	Tuco<1>	Pcau<2>	Psam<3>	Ppac<4>	Hexe<5>	Rvar<6>	Ebro<7>	Nstr<8>	Lpol<9>	Ptep<10>	Cscu<11>	Popi<12>	Dpte<13>	Dsil<14>	Smar<15>	Rimm<16>	Hhol<17>	Gmae<18>	Dste<19>	Eaff<20>	Tcal<21>	Ppol<22>	Hazt<23>	Anas<24>	Pchi<25>	Hame<26>	Pcla<27>	Cqua<28>	Dmag<29>	Dgal<30>	Dapu<31>	Dpul<32>	Tqin<33>	Caug<34>	Iele<35>	Znev<36>	Tcas<37>	Dmel<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>
OG0001482	0.802113	0.464932	0.758844	0.364932	0.5	0.5	0.812246	0.244159	0.8014	0.230739	0.79717	2.59334e-28	0.0524469	0.452191	0.32662	0.32662	0.0561111	0.799796	0.714164	0.688179	0.271213	0.29404	0.677711	0.677711	0.668799	0.086162	0.659741	0.659741	0.5	0.5	0.5	0.5	0.297126	0.110153	0.284006	0.694586	0.685154	0.267073	N/A	0.628017	0.532741	0.476559	0.511843	0.0621816	0.524867	0.569261	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.563721	0.0716446	0.589085	0.14507	0.521663	0.528046	0.584334	0.53275	0.591374	0.531971	0.550478	0.547931	0.516791	0.520856	0.231345	0.5	0.5	0.520856	0.512673	0.56728	0.525668	0.572775
OG0001504	0.464932	0.802113	0.838669	0.529986	0.425693	4.27574e-06	0.482327	0.472678	2.19702e-06	0.79717	0.456579	0.23233	0.794556	0.452191	0.456719	0.230853	0.799796	0.461006	0.306373	0.100495	0.271213	0.109701	0.094741	0.677711	0.668799	0.662125	0.659741	0.0848499	0.749899	0.746553	0.743653	0.369831	0.707277	0.110153	0.105647	0.5	0.5	0.5	N/A	0.628017	0.532741	0.808912	0.511843	2.33759e-07	0.524867	0.569261	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.563721	0.624628	0.589085	0.14507	0.521663	0.528046	0.584334	0.53275	0.591374	0.531971	0.550478	0.547931	0.516791	0.520856	0.0846111	0.541929	0.535835	0.520856	0.512673	0.56728	0.0383326	0.5
OG0001539	0.713636	0.713636	0.838669	0.838669	0.5	0.5	0.725253	0.472678	0.148851	0.249516	0.0195541	0.0435048	0.000115312	0.450131	0.456719	0.456719	0.461006	0.799796	0.558436	0.160197	0.160197	0.838589	0.0740144	0.502109	0.0240198	0.475016	0.470686	0.798887	0.252738	0.797945	0.244018	0.795303	0.840283	0.322704	0.697572	0.694586	0.685154	0.685154	N/A	0.57148	0.516791	0.1186	0.505975	0.314235	0.512673	0.0186302	0.549376	0.00730685	0.541924	0.606228	0.573317	0.0740798	0.529615	0.563721	0.624628	0.589085	0.0536568	0.560898	0.577343	0.0383706	0.589047	0.708516	0.587133	0.630139	0.624521	0.547896	0.558771	0.798441	0.560898	0.552296	0.558771	0.536601	0.00911733	0.525668	0.572775
OG0001578	0.000340218	0.844853	0.5	0.5	0.5	0.5	0.131422	0.000140974	0.0572823	7.20677e-09	0.456579	0.0550601	0.0524469	2.13596e-11	0.249657	4.48177e-07	0.00104193	0.553973	0.714164	0.5	0.5	0.00589786	0.25685	0.25685	0.807887	0.0628439	0.798887	0.798887	0.5	0.5	0.5	0.5	0.297126	0.00597733	0.284006	0.694586	0.5	0.5	N/A	0.0739125	0.532741	0.063097	0.511843	0.0621816	0.524867	0.569261	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.0340731	0.106705	0.624521	0.14507	0.521663	0.528046	0.124555	0.53275	0.591374	0.531971	0.0013391	0.624521	0.547896	0.520856	0.231345	0.5	0.5	0.520856	0.512673	0.56728	0.525668	0.107732
OG0001582	0.464932	0.464932	0.29781	0.529986	0.407016	0.87238	0.482327	0.200764	0.556539	0.54978	0.54978	0.328489	0.838863	0.00952895	0.549913	0.549913	0.553973	0.0105083	0.558436	0.825297	0.519212	0.182242	0.502109	0.0740144	0.486871	0.475016	0.470686	0.0205551	0.00109991	0.582422	0.578222	0.361605	0.00093897	0.0419368	0.787191	0.784297	0.7749	0.7749	N/A	0.628017	0.532741	0.808912	0.511843	0.245811	0.524867	0.0372661	0.571291	0.637324	0.531961	0.583261	0.556629	0.598411	0.54343	0.590948	0.668981	0.624521	0.634192	0.560898	0.577343	0.696514	0.589047	0.708516	0.587133	0.630139	0.624521	0.547896	0.558771	0.123177	0.595304	0.582595	0.558771	0.536601	0.25114	0.549376	0.630069
OG0001586	0.90368	0.274641	0.533746	0.176786	0.910061	0.910061	0.293878	0.463846	1.13891e-11	0.377993	0.00625218	0.000109916	0.441931	0.740198	0.492971	0.00217647	0.609956	0.0577539	0.732597	0.0311949	0.412347	0.0109044	0.672533	0.483	0.660994	0.454538	0.648494	0.648494	0.62317	0.259673	0.864893	0.406063	0.206812	0.135461	0.670946	0.324422	0.30778	0.882112	N/A	0.782078	0.601419	0.408068	0.539653	0.719468	0.579313	0.0361455	0.672709	0.227269	0.595294	0.147988	0.238938	0.719969	0.614361	0.147341	0.305369	0.771464	0.431214	0.639281	0.669664	0.303493	0.689622	0.54307	0.670113	0.732174	0.724791	0.601419	0.635145	0.329365	0.610908	0.596537	0.635145	0.589022	0.0576239	0.627721	0.765021
OG0001634	0.114413	0.305666	0.5	0.5	0.5	0.5	0.321145	0.806653	0.000223821	0.000991825	0.707416	2.39584e-14	9.15841e-05	2.17659e-07	0.29847	0.708276	0.302217	0.711064	0.306373	0.0422997	2.53624e-06	0.451618	0.878106	6.04938e-05	0.40179	2.89022e-11	0.0166161	0.0166161	0.234798	0.230674	0.227136	0.656292	0.707277	0.110153	0.5	0.5	0.5	0.5	N/A	0.57148	0.516791	0.315977	0.505975	0.314235	0.512673	0.536616	0.0129942	1.41099e-06	0.569917	0.66387	0.0121843	0.719969	0.51515	0.533527	0.569353	0.547931	0.552342	0.521663	0.014214	0.647973	0.562318	2.04995e-05	0.26241	3.88299e-18	4.07685e-18	0.314823	0.520856	0.659307	0.521663	0.518423	0.520856	0.512673	0.0997049	0.5	0.5
OG0001665	0.0237156	0.844853	7.73311e-16	0.00947045	0.758694	0.364739	0.852715	0.0256709	0.00498997	6.05614e-07	0.0236204	0.611728	0.00418697	4.6148e-06	0.89311	8.2456e-08	6.80292e-05	0.0445162	0.058163	0.0422997	0.777957	0.226733	0.0813741	0.0367455	0.757666	0.662125	0.23195	0.23195	0.5	0.5	0.5	0.5	0.548447	1.37365e-10	0.00247726	0.0173266	0.00656045	0.0146438	N/A	0.673061	0.547896	0.000433889	0.517606	0.202512	0.536601	0.598411	0.571291	0.0824166	0.541924	0.000367588	0.573317	0.624483	0.54343	0.0510198	0.0437843	0.655125	0.2035	0.541929	0.553755	0.647973	0.562318	0.658521	0.560909	0.593446	0.133741	0.516791	0.540417	0.0280944	0.5	0.5	0.0210699	0.536601	0.664949	0.571291	0.675517
OG0001668	0.463877	0.00462678	0.0214315	0.0447779	0.889038	0.480959	0.276108	0.623874	0.0202054	1.29357e-05	0.881791	0.0342245	0.017644	0.00378395	0.0427779	0.0780412	0.86749	0.14676	0.465735	0.688179	0.688179	0.009468	0.816191	0.816191	0.263873	0.253276	0.798887	0.470686	0.5	0.5	0.5	0.5	0.0167872	0.452905	0.284006	0.694586	0.685154	0.267073	N/A	0.144696	0.562302	0.627172	0.523267	0.872511	0.547895	0.624483	0.591564	0.108988	0.551564	0.62719	0.589028	0.647842	0.556626	0.615534	0.704826	0.655125	0.00976481	0.541929	0.553755	0.2226	0.0332713	0.708516	0.587133	0.630139	0.624521	0.547896	0.540417	0.0280944	0.5	0.5	0.540417	0.524867	0.182273	0.525668	0.572775
OG0001675	0.464932	0.464932	0.166317	0.838669	0.669097	0.0789743	0.000488807	0.472678	0.463722	0.000366552	0.79717	0.458528	0.794556	0.0524469	0.549913	0.549913	0.843028	9.19783e-05	0.103062	0.000142304	0.160123	0.182242	2.32794e-05	0.816191	0.486871	0.475016	0.470686	0.12377	0.5	0.5	0.5	0.5	0.840283	0.00960536	0.533889	0.830548	0.419789	0.7749	N/A	0.263806	0.547896	0.568595	0.517606	0.345365	0.536601	0.598411	0.107451	0.599075	0.521661	0.558069	0.538897	0.569261	0.54343	0.590948	0.668981	0.624521	0.634192	0.560898	0.577343	0.696514	0.589047	0.708516	0.587133	0.630139	0.624521	0.547896	0.558771	0.00875931	0.5	0.5	0.558771	0.536601	0.664949	0.571291	0.267649
