FamilyID	Tuco<1>	Pcau<2>	Psam<3>	Ppac<4>	Hexe<5>	Rvar<6>	Ebro<7>	Nstr<8>	Lpol<9>	Ptep<10>	Cscu<11>	Popi<12>	Dpte<13>	Dsil<14>	Smar<15>	Rimm<16>	Hhol<17>	Gmae<18>	Dste<19>	Eaff<20>	Tcal<21>	Ppol<22>	Hazt<23>	Anas<24>	Pchi<25>	Hame<26>	Pcla<27>	Cqua<28>	Dmag<29>	Dgal<30>	Dapu<31>	Dpul<32>	Tqin<33>	Caug<34>	Iele<35>	Znev<36>	Tcas<37>	Dmel<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>
OG0000023	27	17	8	-7	0	11	11	-3	-6	8	10	0	-16	38	-1	14	2	3	-4	6	-7	6	2	3	7	0	-1	1	-2	0	-2	4	-7	-2	0	-7	5	-1	0	14	4	-1	1	6	2	3	1	3	1	2	0	1	0	2	3	1	-1	0	1	-1	2	4	1	1	0	0	-1	-3	0	0	-1	0	-1	0	1
OG0000024	2	5	7	-4	-1	3	8	-17	31	5	5	2	-7	1	3	0	9	-3	-6	9	-2	7	4	-11	4	-4	7	7	-2	4	2	-1	-5	-2	1	1	0	1	0	2	4	1	1	2	2	3	0	6	0	1	0	0	0	0	1	1	1	1	2	2	2	3	-1	3	2	1	0	1	0	0	0	0	0	0	0
OG0000026	2	1	10	-4	-1	-1	2	0	16	1	3	-1	-3	-2	2	2	-1	7	-4	2	-2	5	-1	-3	1	1	0	-1	-1	-1	-1	0	-3	0	0	-2	0	-1	0	1	0	1	0	-1	0	1	0	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0
OG0000027	8	4	-4	22	0	-2	2	-3	11	1	4	-1	-1	0	-2	1	2	8	-3	6	-4	1	2	0	0	0	1	3	1	0	2	-2	-2	4	-1	-1	-2	-1	0	3	1	8	0	-3	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	-1	0	0	0	0	-1	0	0
OG0000028	7	5	32	0	-3	3	-3	0	16	5	2	13	-10	0	9	23	-13	-2	-2	28	0	7	8	-22	5	19	3	-3	-4	-2	0	0	35	-6	0	-5	-3	-3	0	3	7	18	0	-1	1	7	1	3	0	0	0	-1	1	1	8	-3	1	1	5	9	1	3	-1	5	3	0	-2	-10	0	0	0	-1	-6	-1	-2
OG0000029	0	3	4	-2	0	0	0	-1	4	-1	0	0	0	-1	0	0	0	3	-1	0	0	-1	0	2	1	-1	-1	0	-1	1	0	-1	-1	0	-1	1	0	-1	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000030	14	8	-1	-3	-4	0	42	-3	16	1	26	1	-7	-7	-4	45	-8	4	-5	1	-3	14	-9	7	-1	15	-6	-1	-1	-2	-4	5	1	25	2	-8	1	-1	0	6	1	-4	1	-3	3	1	0	1	0	2	-3	-5	0	1	5	0	0	0	0	-1	1	0	0	0	0	0	0	-6	0	0	1	0	-1	0	0
OG0000032	4	3	19	-5	0	5	3	-4	17	1	0	1	-2	-2	0	3	-2	1	-3	26	-1	7	1	-2	0	-1	0	0	1	-1	-1	-1	7	-1	-2	-1	0	-1	0	1	0	6	0	3	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	7	0	-3	0	0	0	0	0	-1	0	0	0	0	-2	0	0
OG0000033	8	9	53	3	-2	-2	20	-7	7	23	1	-1	-11	0	-9	14	3	-5	37	1	5	2	5	-7	2	0	-2	-4	-3	-3	0	2	5	21	-10	0	-1	8	0	5	4	31	0	-10	1	1	0	1	0	2	-1	-1	0	0	0	0	3	0	0	2	-2	-6	0	-1	-2	0	0	-4	0	0	1	0	-1	0	2
OG0000034	2	1	0	-1	0	0	3	0	4	-1	0	-1	-2	0	3	1	-2	-1	0	7	-1	4	0	-1	1	-2	0	1	-1	-1	0	1	-1	0	0	-1	0	1	0	0	0	-2	0	-2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
OG0000035	-2	0	-1	-1	-2	1	3	-6	0	14	18	-2	-8	2	16	41	18	-13	-1	5	1	5	-1	0	0	2	-1	0	-1	-1	0	0	-2	-2	-3	-2	1	1	0	-1	0	-2	0	-1	2	4	0	1	0	4	0	-1	1	6	16	0	-1	0	0	1	0	-2	0	0	0	0	-1	-2	0	0	0	0	0	0	0
