FamilyID	Bcal<1>	Aric<2>	Aste<3>	Dcar<4>	Rsoc<5>	Rsor<6>	Rota<7>	Mlig<8>	Smed<9>	Pcro<10>	Bner<11>	Paus<12>	Lana<13>	Llon<14>	Pesc<15>	Dgyr<16>	Pech<17>	Lluy<18>	Ctel<19>	Eand<20>	Mvul<21>	Hrob<22>	Hman<23>	Hmed<24>	Hhan<25>	Obim<26>	Spha<27>	Mmer<28>	Dpol<29>	Mcal<30>	Cgig<31>	Myes<32>	Lgig<33>	Ppel<34>	Hrub<35>	Gaeg<36>	Gmag<37>	Mcor<38>	Acal<39>	Echl<40>	Bgla<41>	Aful<42>	Cuni<43>	Oida<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>
OG0000037	-5	-1	1	-4	2	1	4	-2	0	1	-6	-4	16	13	-2	12	-8	6	7	3	15	-5	-3	-3	14	0	-2	1	6	-4	0	-6	-1	-1	-2	-4	4	3	-3	-7	0	0	-5	33	0	-1	2	0	0	0	0	2	0	0	4	0	0	2	1	0	0	0	-1	0	-1	4	-9	-2	2	0	-1	0	-1	1	-2	0	0	0	0	0	0	2	1	1	1	4	2
OG0000039	-4	2	3	-1	-1	-2	0	6	-8	5	7	-6	37	-5	48	-11	-5	-1	37	-1	-2	-2	0	1	52	-1	-16	34	-16	9	-1	2	-16	6	50	-33	28	1	22	-13	-10	2	-14	19	0	-2	-1	0	0	-1	0	4	1	-1	6	3	2	0	-1	-1	-5	-2	-5	0	-7	-2	-1	0	10	0	-8	3	3	2	2	0	1	-4	1	10	0	0	-1	-2	0	1	0
OG0000040	0	4	6	3	-3	4	11	3	-2	5	1	-3	4	10	-4	3	-4	3	-2	-2	19	3	-1	-4	4	3	-2	-3	0	-2	-3	1	-1	8	-1	-4	1	2	-3	-4	-5	-3	-2	28	0	5	18	0	0	1	1	4	3	1	3	0	0	1	1	0	0	0	0	1	2	4	0	-1	0	0	0	0	-1	-1	-1	0	1	2	0	-1	0	1	0	0	0	3	2
OG0000042	-2	6	3	-2	-5	10	5	13	4	6	-4	0	3	25	-3	-4	-5	1	-6	7	24	4	0	-6	11	2	-6	1	1	-1	-2	-2	-1	6	-1	-2	-1	-3	-3	-3	-6	2	-4	25	0	1	9	0	0	1	0	6	13	3	1	0	0	1	1	0	0	0	-2	2	5	8	0	-2	0	0	-2	0	-1	0	-1	0	1	1	0	-1	0	0	1	0	1	5	1
OG0000043	0	1	9	-5	-4	6	11	20	21	-13	-1	1	-2	16	6	-9	-5	-2	-1	4	27	-2	1	-3	6	-2	-1	-1	3	-1	-1	0	-3	2	8	3	-3	3	-5	-4	-4	-1	2	13	0	3	11	0	0	1	0	8	11	1	3	0	0	1	1	0	0	0	-4	2	3	8	-1	0	1	0	-1	0	0	0	-1	0	0	0	0	2	0	-1	-2	0	0	3	1
OG0000044	-3	-1	0	-4	3	2	1	1	-5	10	-6	4	-2	11	7	-4	-1	-4	-9	8	18	0	0	-5	5	19	-12	0	45	2	8	-13	-6	4	-2	-3	18	-5	-8	-1	9	-6	0	3	0	-1	1	0	0	1	0	2	1	0	2	0	0	2	0	0	0	0	-3	0	2	8	-2	-2	6	1	0	1	5	10	-1	0	-1	-1	0	4	0	-3	-2	0	0	0	0
OG0000045	-1	-1	1	0	1	0	0	3	0	0	3	0	3	-1	-1	0	-1	1	-1	1	-1	-1	-1	0	2	0	0	0	0	-1	-1	1	3	-1	2	0	0	1	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OG0000046	-2	-2	0	1	1	-1	-1	45	-16	7	-1	-5	5	4	-2	-2	0	4	-5	-3	15	-4	0	1	20	-2	-3	10	-2	-10	12	-8	-6	13	16	-3	5	6	-2	-9	-5	-6	-6	33	0	-3	-4	0	0	0	0	5	7	-2	2	0	0	1	0	-1	0	0	1	0	0	2	-2	0	7	0	-2	2	0	2	-2	0	3	2	1	7	0	-1	-3	0	0	2	2
OG0000047	0	16	17	-10	-10	9	3	-4	9	0	-10	17	16	29	32	-10	-4	7	3	3	-1	-4	-3	-3	14	-1	-10	-3	6	-6	5	6	-5	5	-3	-2	10	-6	-3	-4	1	-1	-4	15	0	4	10	2	0	0	0	5	2	2	5	2	3	1	1	0	-2	-1	1	-1	-3	1	-8	-3	-1	-1	-7	0	0	0	0	1	0	0	0	1	0	-1	0	0	1	1	1
OG0000048	-2	-3	3	-3	0	4	1	-5	2	3	-3	-6	31	0	7	-9	-1	-1	-2	2	20	3	-4	-2	12	0	-5	7	-3	3	1	-7	0	2	3	-2	1	-1	-2	-4	-3	-6	0	29	0	-1	-2	0	0	0	0	2	0	1	4	1	1	0	0	0	0	1	0	1	3	5	0	-2	1	0	-2	0	0	0	-1	-1	1	0	0	1	0	0	0	0	1	3	2
