FamilyID	Bcal<1>	Aric<2>	Aste<3>	Dcar<4>	Rsoc<5>	Rsor<6>	Rota<7>	Mlig<8>	Smed<9>	Pcro<10>	Bner<11>	Paus<12>	Lana<13>	Llon<14>	Pesc<15>	Dgyr<16>	Pech<17>	Lluy<18>	Ctel<19>	Eand<20>	Mvul<21>	Hrob<22>	Hman<23>	Hmed<24>	Hhan<25>	Obim<26>	Spha<27>	Mmer<28>	Dpol<29>	Mcal<30>	Cgig<31>	Myes<32>	Lgig<33>	Ppel<34>	Hrub<35>	Gaeg<36>	Gmag<37>	Mcor<38>	Acal<39>	Echl<40>	Bgla<41>	Aful<42>	Cuni<43>	Oida<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>
OG0000040	15	37	39	36	31	39	46	20	16	23	18	14	21	29	15	22	15	22	18	24	45	25	20	17	22	21	16	13	16	14	13	17	20	29	17	14	19	22	17	16	15	20	23	53	10	15	33	33	33	34	35	14	17	18	17	17	17	18	19	19	19	19	19	20	22	26	22	21	18	18	18	18	17	16	16	16	19	21	19	18	18	20	20	20	20	23	25
OG0000042	9	26	23	18	16	31	26	42	36	38	13	17	20	44	16	15	12	18	15	41	58	30	24	18	29	18	10	18	18	15	14	14	19	26	17	16	17	16	17	17	15	28	23	52	10	11	20	20	20	21	21	16	29	32	17	17	17	18	19	19	19	19	17	21	26	34	26	24	18	18	16	18	17	17	16	16	19	20	19	18	18	19	20	20	21	26	27
OG0000043	13	25	33	19	21	31	36	49	51	17	20	22	19	39	29	14	14	17	24	40	63	25	28	24	29	20	21	22	26	21	21	22	20	25	33	28	22	25	15	16	16	22	26	37	10	13	24	24	24	25	25	18	29	30	21	21	21	22	23	23	23	23	19	25	28	36	27	27	23	23	22	23	23	23	22	22	23	23	23	25	25	22	20	20	20	23	24
OG0000044	4	7	8	4	12	11	10	12	6	21	6	16	10	25	21	10	10	7	5	32	42	14	12	7	25	40	9	37	82	28	34	13	14	24	23	22	43	13	8	15	25	10	16	19	8	7	8	8	8	9	9	10	11	11	12	12	12	14	14	14	14	14	11	14	16	24	14	12	20	21	21	22	27	37	26	26	21	20	21	25	25	18	16	16	16	16	16
OG0000045	0	0	2	1	2	1	1	4	0	0	4	1	4	0	0	1	0	2	0	2	0	0	0	1	4	0	0	2	2	1	1	3	5	1	5	3	3	3	2	2	2	0	2	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2
OG0000046	5	1	3	4	4	2	2	67	4	27	16	12	22	22	15	15	18	22	12	16	34	11	15	16	45	21	20	39	27	15	37	17	26	45	54	35	43	36	25	18	22	23	25	64	10	7	3	3	3	3	3	15	22	20	17	17	17	18	18	17	17	17	18	17	17	19	15	15	25	25	23	27	27	29	25	25	30	32	31	38	38	30	27	27	27	29	31
OG0000047	14	42	43	14	14	33	27	13	28	19	12	42	41	51	54	10	16	27	21	19	15	3	1	1	34	11	2	16	25	13	25	26	14	24	17	18	30	12	15	14	20	19	17	36	10	14	24	26	24	24	24	15	17	19	20	22	25	21	22	22	20	19	20	18	15	16	7	4	20	19	12	19	19	19	19	20	19	19	19	20	20	18	18	18	19	20	21
OG0000048	6	3	9	3	6	10	7	6	14	15	13	11	48	15	22	6	15	15	15	27	45	23	14	16	28	14	9	23	13	18	15	7	17	19	21	16	19	16	15	13	15	15	23	52	9	8	6	6	6	6	6	11	11	12	15	16	17	15	15	15	15	16	16	17	20	25	20	18	16	16	14	16	16	16	15	14	17	17	17	18	18	17	17	17	18	21	23
OG0000049	9	8	7	13	5	5	10	15	6	11	4	21	37	33	85	17	31	47	36	67	99	20	17	11	49	60	51	57	41	54	64	37	39	31	70	31	61	34	66	27	51	49	49	87	10	9	8	8	8	8	8	14	12	11	23	22	23	30	32	35	35	36	37	37	39	55	28	22	40	42	48	43	45	46	47	47	43	40	44	48	48	44	48	48	49	53	55
OG0000051	5	21	21	14	16	19	23	30	23	40	10	8	10	47	36	24	17	30	55	40	64	26	20	18	84	18	15	23	14	32	26	24	39	38	56	32	56	27	22	23	16	22	26	45	10	10	17	17	17	18	18	16	24	26	18	15	14	24	27	29	29	30	27	33	34	40	29	25	29	28	22	28	26	23	26	26	31	34	31	39	39	28	25	25	25	27	28
