Desc	Orthogroup	Acar	Ajap	Amis	Anja	Arub	Asin	Bbom	Bbuf	Blan	Cint	Clup	Cmil	Cpic	Cpla	Cpor	Cser	Ctig	Drer	Ebur	Emac	Ggal	Ggan	Gser	Hsap	Lcha	Leri	Mdom	Muni	Npar	Oana	Pann	Pmeg	Psin	Pwal	Rbiv	Rtem	Sbom	Skow	Sorb	Spur	Tcar	Tgut	Ttru	Xlae	Xtro
(null)	OG0003835	1	0	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
(null)	OG0003836	4	0	5	0	0	4	4	6	0	0	3	1	6	2	0	5	3	7	0	10	9	0	5	4	4	1	3	5	5	2	6	6	5	3	7	6	5	0	3	1	6	0	3	8	5
(null)	OG0003838	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
(null)	OG0003839	1	2	2	2	1	2	2	2	3	0	2	3	2	1	2	2	1	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	1	2	1	3	1	2	3	2	1	2	3
(null)	OG0003840	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1
(null)	OG0003841	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	0	1	1	1
(null)	OG0003842	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	1
(null)	OG0003843	3	2	2	1	1	2	2	2	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	1	3	1	2	3	2	2	2
(null)	OG0003844	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	3	2
(null)	OG0003845	1	3	3	1	1	1	1	2	1	1	1	2	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	3	1	1	0	2	1	2	1
(null)	OG0003846	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0003847	2	1	2	1	1	2	2	2	0	0	2	2	2	2	2	2	2	3	1	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	3	1	2	2	2	3	2
(null)	OG0003848	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1
(null)	OG0003849	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0003850	1	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	1	2	1	1	1	5	2
(null)	OG0003851	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	0	1	1	2	1
(null)	OG0003852	2	1	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	1	1	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	3	5	2
(null)	OG0003853	1	2	1	1	1	1	1	5	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	0	0	2	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1
(null)	OG0003854	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1
(null)	OG0003855	0	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	3	1	1	1	2	1
(null)	OG0003856	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
(null)	OG0003857	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1
(null)	OG0003858	2	1	1	1	1	1	2	1	1	1	2	2	2	3	1	2	2	1	2	2	1	1	1	2	2	2	1	1	1	2	2	3	1	2	1	1	2	1	1	1	2	1	2	3	1
(null)	OG0003859	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1
(null)	OG0003860	1	1	1	3	1	1	2	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0003861	0	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1
(null)	OG0003862	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0003863	1	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0003865	0	0	2	1	2	2	2	2	1	0	2	2	2	3	3	1	2	2	1	3	2	2	2	2	0	2	2	2	2	1	6	2	2	2	2	3	2	1	2	1	2	2	2	4	2
(null)	OG0003866	2	2	2	1	1	2	2	2	1	1	1	2	2	2	2	2	3	1	2	2	2	2	2	1	2	2	1	2	2	1	2	2	2	3	2	2	2	2	1	1	2	2	1	4	2
(null)	OG0003867	1	1	2	1	1	1	3	3	1	1	4	3	3	3	1	2	3	3	2	3	1	0	3	3	3	3	3	3	2	3	3	3	2	5	3	3	2	1	3	1	3	1	4	5	4
(null)	OG0003868	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1
(null)	OG0003869	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0003870	1	1	2	1	1	2	1	2	1	1	2	1	1	2	1	1	2	3	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	4	2	1	1	2	3	2
(null)	OG0003871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	3	1
(null)	OG0003872	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
(null)	OG0003873	1	2	1	1	1	1	1	1	1	1	2	0	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	0	1	2	1	1	1	1	1	1	1	1	2	1
(null)	OG0003874	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
(null)	OG0003875	1	4	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	OG0003876	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0003877	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0003879	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
(null)	OG0003880	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	2	1
(null)	OG0003881	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1
(null)	OG0003882	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0003883	2	2	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	2	1
(null)	OG0003884	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	2	0	1	3	2	1	1	2	1	1	2	1
(null)	OG0003885	1	1	1	1	3	1	1	1	1	1	1	1	1	4	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	2	1
(null)	OG0003886	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	OG0003887	1	3	1	1	1	1	2	1	1	1	0	1	1	0	1	0	1	1	1	1	2	1	1	1	0	1	0	1	2	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	2
(null)	OG0003888	1	1	1	3	0	1	2	2	1	1	2	3	1	3	1	2	2	3	0	2	2	1	2	1	2	3	1	3	2	1	2	1	1	2	2	2	2	1	2	1	1	1	1	5	3
